time,x ang vel,y ang vel,z ang vel,x accel,y accel,z accel,x mag,y mag,z mag
1.411000, -1.305559, 1.697067, -1.311494, 12.126978, 1.765782, 2.212605, 0.000025, -0.000029, 0.000035
1.412000, -1.580085, 1.545294, -1.255419, 12.141386, 1.778309, 2.247010, 0.000025, -0.000029, 0.000035
1.413000, -1.366271, 1.788589, -1.149703, 12.087487, 1.813251, 2.154312, 0.000025, -0.000029, 0.000035
1.414000, -1.425481, 1.879394, -1.083795, 12.126858, 1.945877, 2.149332, 0.000025, -0.000029, 0.000035
1.415000, -1.363599, 1.985828, -1.317778, 12.153483, 1.895323, 2.241445, 0.000025, -0.000029, 0.000035
1.416000, -1.389570, 1.565551, -1.342132, 12.131834, 1.986489, 2.150315, 0.000025, -0.000029, 0.000035
1.417000, -1.295336, 1.783293, -1.269237, 12.033922, 1.918374, 2.187601, 0.000025, -0.000029, 0.000035
1.418000, -0.984390, 1.803592, -0.953829, 12.093738, 2.022891, 2.195906, 0.000025, -0.000029, 0.000035
1.419000, -1.297594, 1.677910, -1.217157, 12.198656, 2.043652, 2.091115, 0.000025, -0.000029, 0.000035
1.420000, -1.591678, 1.621075, -1.402296, 12.254282, 2.059695, 2.339644, 0.000025, -0.000029, 0.000035
1.421000, -1.469247, 1.874195, -1.193331, 12.136984, 2.072446, 2.174340, 0.000025, -0.000029, 0.000035
1.422000, -1.337201, 1.515336, -1.179692, 12.057218, 2.006227, 2.062568, 0.000025, -0.000029, 0.000035
1.423000, -1.043662, 1.972519, -1.375471, 12.141613, 2.306653, 2.141208, 0.000025, -0.000029, 0.000035
1.424000, -1.391668, 1.510216, -1.118704, 12.152702, 2.250525, 2.151115, 0.000025, -0.000029, 0.000035
1.425000, -1.381038, 1.468201, -1.300560, 12.074045, 2.336490, 2.127055, 0.000025, -0.000029, 0.000035
1.426000, -1.365938, 1.588120, -1.352599, 12.092735, 2.297372, 2.209119, 0.000025, -0.000029, 0.000035
1.427000, -1.319658, 1.714465, -1.214361, 12.010286, 2.398534, 2.027739, 0.000025, -0.000029, 0.000035
1.428000, -1.381789, 1.542510, -0.994094, 12.023975, 2.231190, 2.157037, 0.000025, -0.000029, 0.000035
1.429000, -1.661484, 1.542298, -1.360834, 12.037283, 2.348294, 2.072779, 0.000025, -0.000029, 0.000035
1.430000, -1.392156, 1.732379, -1.269172, 11.959152, 2.523326, 2.124469, 0.000024, -0.000029, 0.000035
1.431000, -1.286177, 1.450510, -1.154706, 11.984058, 2.369329, 2.055345, 0.000024, -0.000029, 0.000035
1.432000, -1.267000, 1.855108, -1.290021, 11.976412, 2.608111, 2.091456, 0.000025, -0.000029, 0.000035
1.433000, -1.547838, 1.556294, -1.034057, 11.979281, 2.542895, 2.125314, 0.000024, -0.000029, 0.000035
1.434000, -1.165454, 1.467759, -0.910229, 12.099782, 2.558542, 1.896162, 0.000025, -0.000029, 0.000035
1.435000, -1.425800, 1.590216, -1.222348, 11.971210, 2.622990, 2.131862, 0.000024, -0.000029, 0.000035
1.436000, -1.313860, 1.757658, -1.133410, 12.125196, 2.642848, 2.012764, 0.000024, -0.000029, 0.000035
1.437000, -1.410308, 1.597501, -0.847959, 12.065896, 2.727234, 1.987645, 0.000025, -0.000029, 0.000035
1.438000, -1.212261, 1.435624, -1.171697, 12.104447, 2.800924, 2.044344, 0.000024, -0.000029, 0.000035
1.439000, -1.152715, 1.576036, -1.259596, 12.071052, 2.847569, 1.961250, 0.000024, -0.000029, 0.000035
1.440000, -1.550965, 1.582295, -1.312625, 12.080364, 2.761536, 2.130695, 0.000024, -0.000029, 0.000035
1.441000, -1.441923, 1.536518, -1.262247, 12.035274, 2.912407, 2.020687, 0.000024, -0.000029, 0.000035
1.442000, -1.400500, 1.593007, -1.432791, 11.981216, 2.765994, 2.019392, 0.000024, -0.000029, 0.000035
1.443000, -1.437185, 1.445341, -1.323183, 12.013155, 3.008203, 2.064127, 0.000024, -0.000029, 0.000035
1.444000, -1.466436, 1.568601, -1.306084, 12.110443, 2.892853, 1.878200, 0.000024, -0.000029, 0.000035
1.445000, -1.492857, 1.452606, -1.337263, 12.121600, 3.058119, 1.969598, 0.000024, -0.000029, 0.000035
1.446000, -1.598549, 1.232241, -0.937633, 12.050472, 2.972177, 2.020228, 0.000024, -0.000029, 0.000035
1.447000, -1.309308, 1.524932, -1.202042, 12.066714, 3.152728, 1.905791, 0.000024, -0.000029, 0.000035
1.448000, -1.624409, 1.562543, -1.362309, 11.919789, 3.060560, 2.038893, 0.000024, -0.000029, 0.000035
1.449000, -1.453456, 1.736104, -1.368394, 11.965316, 3.240073, 1.976467, 0.000024, -0.000030, 0.000035
1.450000, -1.569104, 1.509035, -1.058966, 12.101014, 3.197268, 1.943827, 0.000024, -0.000029, 0.000035
1.451000, -1.724527, 1.468361, -1.133704, 12.031493, 3.201827, 2.041099, 0.000024, -0.000029, 0.000035
1.452000, -1.491530, 1.335809, -1.170901, 11.917302, 3.310543, 1.936356, 0.000024, -0.000029, 0.000035
1.453000, -1.415435, 1.406148, -1.041811, 11.953570, 3.323567, 2.011184, 0.000024, -0.000030, 0.000035
1.454000, -1.459205, 1.513221, -1.189633, 11.895779, 3.237409, 1.922251, 0.000024, -0.000029, 0.000035
1.455000, -1.600953, 1.306924, -1.581808, 11.900239, 3.413991, 2.135858, 0.000024, -0.000029, 0.000035
1.456000, -1.478550, 1.354049, -1.540537, 12.057389, 3.273331, 2.056470, 0.000024, -0.000029, 0.000035
1.457000, -1.484328, 1.589553, -1.246327, 11.916999, 3.326353, 1.792526, 0.000024, -0.000029, 0.000035
1.458000, -1.840498, 1.389643, -1.070356, 11.938527, 3.441459, 2.014552, 0.000024, -0.000030, 0.000035
1.459000, -1.532193, 1.232775, -1.168312, 11.920653, 3.494346, 1.930910, 0.000024, -0.000030, 0.000035
1.460000, -1.426215, 1.131532, -1.287291, 11.974479, 3.614196, 2.101969, 0.000024, -0.000030, 0.000035
1.461000, -1.733033, 1.443212, -1.443755, 11.953027, 3.426018, 1.830220, 0.000024, -0.000030, 0.000035
1.462000, -1.579243, 1.650089, -1.326798, 11.912669, 3.536286, 2.063974, 0.000024, -0.000030, 0.000035
1.463000, -1.590032, 1.494263, -1.559941, 11.929984, 3.562043, 1.965356, 0.000024, -0.000030, 0.000035
1.464000, -1.734533, 1.205254, -1.333031, 11.896612, 3.729695, 1.999943, 0.000024, -0.000030, 0.000035
1.465000, -1.424461, 1.270341, -1.545261, 11.951876, 3.676092, 1.911316, 0.000024, -0.000030, 0.000035
1.466000, -1.601239, 1.220566, -1.157134, 11.949504, 3.781283, 1.989788, 0.000024, -0.000030, 0.000035
1.467000, -1.167312, 1.605057, -1.165061, 11.867414, 3.775694, 1.984862, 0.000024, -0.000030, 0.000035
1.468000, -1.644305, 1.418779, -1.212744, 11.816364, 3.866064, 1.877327, 0.000024, -0.000030, 0.000034
1.469000, -1.716661, 1.265177, -0.963684, 11.914324, 3.669263, 1.889576, 0.000024, -0.000030, 0.000035
1.470000, -1.595559, 1.509933, -1.381356, 11.772538, 3.996507, 1.865483, 0.000024, -0.000030, 0.000034
1.471000, -1.807248, 0.891691, -1.444472, 11.895561, 3.922113, 1.787014, 0.000024, -0.000030, 0.000034
1.472000, -1.707163, 1.311755, -1.415017, 11.944591, 3.878930, 1.865295, 0.000024, -0.000030, 0.000034
1.473000, -1.531131, 1.485925, -1.354015, 11.944498, 3.940698, 2.070614, 0.000024, -0.000030, 0.000035
1.474000, -1.533919, 1.515992, -1.628174, 11.795325, 4.071373, 1.879085, 0.000024, -0.000030, 0.000035
1.475000, -1.422271, 1.203488, -1.510839, 11.870292, 3.941487, 1.950189, 0.000024, -0.000030, 0.000034
1.476000, -1.598012, 1.226177, -1.454530, 11.748358, 4.209816, 1.872700, 0.000024, -0.000030, 0.000034
1.477000, -1.536887, 0.997583, -1.278288, 11.789825, 4.152931, 1.883590, 0.000024, -0.000030, 0.000034
1.478000, -1.538731, 1.404596, -1.225049, 11.893926, 4.192732, 1.867810, 0.000024, -0.000030, 0.000034
1.479000, -1.378590, 1.232272, -1.101758, 11.765396, 4.180179, 1.896471, 0.000024, -0.000030, 0.000034
1.480000, -1.933278, 1.129458, -1.339150, 11.680947, 4.370821, 1.855968, 0.000024, -0.000030, 0.000034
