Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K)
290.98,6.5,827.33,0.0012087,196.68,204.53,0.8392,0.9178,2.6051,463.95,0.71661,75.42,0.086606
291.01,6.5,827.13,0.001209,196.75,204.61,0.83945,0.91783,2.6066,463.68,0.71793,75.383,0.086574
291.04,6.5,826.93,0.0012093,196.82,204.68,0.8397,0.91787,2.6081,463.42,0.71925,75.347,0.086542
291.07,6.5,826.73,0.0012096,196.89,204.75,0.83995,0.91791,2.6096,463.15,0.72058,75.31,0.08651
291.09,6.5,826.52,0.0012099,196.96,204.82,0.8402,0.91794,2.6111,462.89,0.72191,75.273,0.086478
291.12,6.5,826.32,0.0012102,197.03,204.9,0.84045,0.91798,2.6127,462.63,0.72324,75.237,0.086445
291.15,6.5,826.12,0.0012105,197.1,204.97,0.8407,0.91802,2.6142,462.36,0.72457,75.2,0.086413
291.18,6.5,825.92,0.0012108,197.17,205.04,0.84095,0.91805,2.6157,462.1,0.72591,75.163,0.086381
291.2,6.5,825.71,0.0012111,197.24,205.11,0.8412,0.91809,2.6173,461.83,0.72725,75.127,0.086349
291.23,6.5,825.51,0.0012114,197.31,205.19,0.84145,0.91813,2.6188,461.57,0.7286,75.09,0.086316
291.26,6.5,825.31,0.0012117,197.38,205.26,0.8417,0.91816,2.6203,461.3,0.72995,75.053,0.086284
291.29,6.5,825.1,0.001212,197.46,205.33,0.84195,0.9182,2.6219,461.03,0.7313,75.016,0.086252
291.32,6.5,824.9,0.0012123,197.53,205.41,0.8422,0.91824,2.6234,460.77,0.73265,74.98,0.08622
291.34,6.5,824.7,0.0012126,197.6,205.48,0.84245,0.91827,2.625,460.5,0.73401,74.943,0.086187
291.37,6.5,824.49,0.0012129,197.67,205.55,0.8427,0.91831,2.6266,460.24,0.73537,74.906,0.086155
291.4,6.5,824.29,0.0012132,197.74,205.63,0.84295,0.91835,2.6281,459.97,0.73673,74.869,0.086123
291.43,6.5,824.08,0.0012135,197.81,205.7,0.8432,0.91839,2.6297,459.7,0.7381,74.832,0.08609
291.46,6.5,823.88,0.0012138,197.88,205.77,0.84346,0.91842,2.6313,459.44,0.73947,74.796,0.086058
291.48,6.5,823.67,0.0012141,197.95,205.85,0.84371,0.91846,2.6329,459.17,0.74084,74.759,0.086026
291.51,6.5,823.47,0.0012144,198.02,205.92,0.84396,0.9185,2.6344,458.9,0.74222,74.722,0.085994
291.54,6.5,823.26,0.0012147,198.1,205.99,0.84421,0.91854,2.636,458.63,0.7436,74.685,0.085961
291.57,6.5,823.06,0.001215,198.17,206.07,0.84446,0.91858,2.6376,458.36,0.74498,74.648,0.085929
291.59,6.5,822.85,0.0012153,198.24,206.14,0.84471,0.91861,2.6392,458.1,0.74637,74.611,0.085897
291.62,6.5,822.65,0.0012156,198.31,206.21,0.84497,0.91865,2.6408,457.83,0.74776,74.574,0.085864
291.65,6.5,822.44,0.0012159,198.38,206.29,0.84522,0.91869,2.6425,457.56,0.74915,74.537,0.085832
291.68,6.5,822.23,0.0012162,198.45,206.36,0.84547,0.91873,2.6441,457.29,0.75055,74.5,0.0858
291.71,6.5,822.03,0.0012165,198.53,206.43,0.84572,0.91877,2.6457,457.02,0.75195,74.463,0.085767
291.73,6.5,821.82,0.0012168,198.6,206.51,0.84598,0.91881,2.6473,456.75,0.75335,74.426,0.085735
291.76,6.5,821.61,0.0012171,198.67,206.58,0.84623,0.91885,2.649,456.48,0.75476,74.389,0.085703
291.79,6.5,821.41,0.0012174,198.74,206.65,0.84648,0.91889,2.6506,456.21,0.75616,74.352,0.08567
291.82,6.5,821.2,0.0012177,198.81,206.73,0.84673,0.91893,2.6522,455.94,0.75758,74.315,0.085638
291.85,6.5,820.99,0.001218,198.88,206.8,0.84699,0.91897,2.6539,455.67,0.75899,74.278,0.085606
291.87,6.5,820.78,0.0012184,198.96,206.88,0.84724,0.919,2.6555,455.4,0.76041,74.241,0.085573
291.9,6.5,820.57,0.0012187,199.03,206.95,0.84749,0.91904,2.6572,455.13,0.76184,74.204,0.085541
291.93,6.5,820.37,0.001219,199.1,207.02,0.84775,0.91908,2.6589,454.86,0.76326,74.167,0.085508
291.96,6.5,820.16,0.0012193,199.17,207.1,0.848,0.91912,2.6605,454.59,0.76469,74.13,0.085476
291.98,6.5,819.95,0.0012196,199.24,207.17,0.84825,0.91917,2.6622,454.32,0.76613,74.093,0.085444
292.01,6.5,819.74,0.0012199,199.32,207.25,0.84851,0.91921,2.6639,454.05,0.76757,74.055,0.085411
292.04,6.5,819.53,0.0012202,199.39,207.32,0.84876,0.91925,2.6656,453.78,0.76901,74.018,0.085379
292.07,6.5,819.32,0.0012205,199.46,207.39,0.84902,0.91929,2.6673,453.51,0.77045,73.981,0.085347
292.1,6.5,819.11,0.0012208,199.53,207.47,0.84927,0.91933,2.669,453.23,0.7719,73.944,0.085314
292.12,6.5,818.9,0.0012211,199.61,207.54,0.84952,0.91937,2.6707,452.96,0.77335,73.907,0.085282
292.15,6.5,818.69,0.0012215,199.68,207.62,0.84978,0.91941,2.6724,452.69,0.77481,73.869,0.085249
292.18,6.5,818.48,0.0012218,199.75,207.69,0.85003,0.91945,2.6741,452.42,0.77626,73.832,0.085217
292.21,6.5,818.27,0.0012221,199.82,207.77,0.85029,0.91949,2.6758,452.14,0.77773,73.795,0.085184
292.23,6.5,818.06,0.0012224,199.89,207.84,0.85054,0.91953,2.6775,451.87,0.77919,73.758,0.085152
292.26,6.5,817.85,0.0012227,199.97,207.91,0.8508,0.91958,2.6793,451.6,0.78066,73.72,0.08512
292.29,6.5,817.64,0.001223,200.04,207.99,0.85105,0.91962,2.681,451.32,0.78213,73.683,0.085087
292.32,6.5,817.43,0.0012234,200.11,208.06,0.85131,0.91966,2.6827,451.05,0.78361,73.646,0.085055
292.35,6.5,817.21,0.0012237,200.18,208.14,0.85156,0.9197,2.6845,450.77,0.78509,73.608,0.085022
292.37,6.5,817,0.001224,200.26,208.21,0.85182,0.91974,2.6862,450.5,0.78658,73.571,0.08499
292.4,6.5,816.79,0.0012243,200.33,208.29,0.85208,0.91979,2.688,450.23,0.78806,73.533,0.084957
292.43,6.5,816.58,0.0012246,200.4,208.36,0.85233,0.91983,2.6897,449.95,0.78955,73.496,0.084925
292.46,6.5,816.37,0.0012249,200.48,208.44,0.85259,0.91987,2.6915,449.68,0.79105,73.458,0.084892
292.49,6.5,816.15,0.0012253,200.55,208.51,0.85284,0.91991,2.6933,449.4,0.79255,73.421,0.08486
292.51,6.5,815.94,0.0012256,200.62,208.59,0.8531,0.91996,2.6951,449.12,0.79405,73.384,0.084827
292.54,6.5,815.73,0.0012259,200.69,208.66,0.85336,0.92,2.6969,448.85,0.79556,73.346,0.084795
292.57,6.5,815.51,0.0012262,200.77,208.74,0.85361,0.92004,2.6987,448.57,0.79707,73.309,0.084762
292.6,6.5,815.3,0.0012265,200.84,208.81,0.85387,0.92009,2.7005,448.3,0.79858,73.271,0.08473
292.62,6.5,815.08,0.0012269,200.91,208.89,0.85413,0.92013,2.7023,448.02,0.8001,73.233,0.084697
292.65,6.5,814.87,0.0012272,200.99,208.96,0.85438,0.92017,2.7041,447.74,0.80162,73.196,0.084665
292.68,6.5,814.66,0.0012275,201.06,209.04,0.85464,0.92022,2.7059,447.47,0.80315,73.158,0.084632
292.71,6.5,814.44,0.0012278,201.13,209.11,0.8549,0.92026,2.7077,447.19,0.80468,73.121,0.0846
292.74,6.5,814.23,0.0012282,201.21,209.19,0.85516,0.92031,2.7095,446.91,0.80621,73.083,0.084567
292.76,6.5,814.01,0.0012285,201.28,209.27,0.85541,0.92035,2.7114,446.63,0.80775,73.045,0.084535
292.79,6.5,813.8,0.0012288,201.35,209.34,0.85567,0.9204,2.7132,446.36,0.80929,73.008,0.084502
292.82,6.5,813.58,0.0012291,201.43,209.42,0.85593,0.92044,2.7151,446.08,0.81083,72.97,0.084469
292.85,6.5,813.36,0.0012295,201.5,209.49,0.85619,0.92048,2.7169,445.8,0.81238,72.932,0.084437
292.87,6.5,813.15,0.0012298,201.57,209.57,0.85645,0.92053,2.7188,445.52,0.81394,72.895,0.084404
292.9,6.5,812.93,0.0012301,201.65,209.64,0.85671,0.92058,2.7207,445.24,0.81549,72.857,0.084372
292.93,6.5,812.71,0.0012304,201.72,209.72,0.85696,0.92062,2.7225,444.96,0.81705,72.819,0.084339
292.96,6.5,812.5,0.0012308,201.79,209.79,0.85722,0.92067,2.7244,444.68,0.81862,72.781,0.084307
292.99,6.5,812.28,0.0012311,201.87,209.87,0.85748,0.92071,2.7263,444.4,0.82019,72.743,0.084274
293.01,6.5,812.06,0.0012314,201.94,209.95,0.85774,0.92076,2.7282,444.12,0.82176,72.706,0.084241
293.04,6.5,811.84,0.0012318,202.02,210.02,0.858,0.9208,2.7301,443.84,0.82334,72.668,0.084209
293.07,6.5,811.63,0.0012321,202.09,210.1,0.85826,0.92085,2.732,443.56,0.82492,72.63,0.084176
293.1,6.5,811.41,0.0012324,202.16,210.17,0.85852,0.9209,2.7339,443.28,0.82651,72.592,0.084143
293.13,6.5,811.19,0.0012328,202.24,210.25,0.85878,0.92094,2.7358,443,0.8281,72.554,0.084111
293.15,6.5,810.97,0.0012331,202.31,210.33,0.85904,0.92099,2.7378,442.72,0.82969,72.516,0.084078
293.18,6.5,810.75,0.0012334,202.39,210.4,0.8593,0.92104,2.7397,442.44,0.83129,72.478,0.084046
293.21,6.5,810.53,0.0012338,202.46,210.48,0.85956,0.92108,2.7416,442.15,0.83289,72.44,0.084013
293.24,6.5,810.31,0.0012341,202.53,210.56,0.85982,0.92113,2.7436,441.87,0.8345,72.402,0.08398
293.26,6.5,810.09,0.0012344,202.61,210.63,0.86008,0.92118,2.7455,441.59,0.83611,72.364,0.083948
293.29,6.5,809.87,0.0012348,202.68,210.71,0.86034,0.92122,2.7475,441.31,0.83772,72.326,0.083915
293.32,6.5,809.65,0.0012351,202.76,210.78,0.8606,0.92127,2.7495,441.02,0.83934,72.288,0.083882
293.35,6.5,809.43,0.0012354,202.83,210.86,0.86086,0.92132,2.7515,440.74,0.84097,72.25,0.08385
293.38,6.5,809.21,0.0012358,202.91,210.94,0.86112,0.92137,2.7534,440.46,0.84259,72.212,0.083817
