Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K)
291.73,65,75.528,0.01324,202.53,288.59,5.5329,0.7588,1.1517,362.3,0.17385,18.73,0.028587
291.76,65,75.52,0.013241,202.55,288.62,5.533,0.7588,1.1517,362.32,0.17381,18.731,0.028589
291.79,65,75.512,0.013243,202.57,288.65,5.5331,0.7588,1.1516,362.34,0.17378,18.732,0.02859
291.81,65,75.505,0.013244,202.6,288.68,5.5332,0.75879,1.1516,362.35,0.17374,18.733,0.028592
291.84,65,75.497,0.013246,202.62,288.71,5.5333,0.75879,1.1516,362.37,0.17371,18.734,0.028594
291.87,65,75.489,0.013247,202.64,288.74,5.5334,0.75879,1.1515,362.39,0.17368,18.735,0.028595
291.89,65,75.481,0.013248,202.66,288.77,5.5335,0.75878,1.1515,362.4,0.17364,18.736,0.028597
291.92,65,75.473,0.01325,202.68,288.81,5.5336,0.75878,1.1515,362.42,0.17361,18.737,0.028598
291.95,65,75.465,0.013251,202.7,288.84,5.5338,0.75878,1.1515,362.44,0.17357,18.738,0.0286
291.97,65,75.457,0.013252,202.72,288.87,5.5339,0.75877,1.1514,362.46,0.17354,18.739,0.028601
292,65,75.45,0.013254,202.75,288.9,5.534,0.75877,1.1514,362.47,0.17351,18.74,0.028603
292.02,65,75.442,0.013255,202.77,288.93,5.5341,0.75877,1.1514,362.49,0.17347,18.741,0.028604
292.05,65,75.434,0.013257,202.79,288.96,5.5342,0.75876,1.1514,362.51,0.17344,18.742,0.028606
292.08,65,75.426,0.013258,202.81,288.99,5.5343,0.75876,1.1513,362.53,0.1734,18.743,0.028607
292.1,65,75.418,0.013259,202.83,289.02,5.5344,0.75876,1.1513,362.54,0.17337,18.744,0.028609
292.13,65,75.41,0.013261,202.85,289.05,5.5345,0.75875,1.1513,362.56,0.17334,18.745,0.02861
292.16,65,75.403,0.013262,202.87,289.08,5.5346,0.75875,1.1513,362.58,0.1733,18.746,0.028612
292.18,65,75.395,0.013264,202.9,289.11,5.5347,0.75875,1.1512,362.59,0.17327,18.747,0.028613
292.21,65,75.387,0.013265,202.92,289.14,5.5348,0.75874,1.1512,362.61,0.17323,18.749,0.028615
292.24,65,75.379,0.013266,202.94,289.17,5.5349,0.75874,1.1512,362.63,0.1732,18.75,0.028616
292.26,65,75.371,0.013268,202.96,289.2,5.535,0.75874,1.1511,362.65,0.17317,18.751,0.028618
292.29,65,75.363,0.013269,202.98,289.23,5.5351,0.75874,1.1511,362.66,0.17313,18.752,0.028619
292.31,65,75.356,0.01327,203,289.26,5.5352,0.75873,1.1511,362.68,0.1731,18.753,0.028621
292.34,65,75.348,0.013272,203.02,289.29,5.5353,0.75873,1.1511,362.7,0.17306,18.754,0.028622
292.37,65,75.34,0.013273,203.05,289.32,5.5354,0.75873,1.151,362.72,0.17303,18.755,0.028624
292.39,65,75.332,0.013275,203.07,289.35,5.5355,0.75872,1.151,362.73,0.173,18.756,0.028625
292.42,65,75.324,0.013276,203.09,289.38,5.5356,0.75872,1.151,362.75,0.17296,18.757,0.028627
292.45,65,75.317,0.013277,203.11,289.41,5.5357,0.75872,1.151,362.77,0.17293,18.758,0.028629
292.47,65,75.309,0.013279,203.13,289.44,5.5358,0.75871,1.1509,362.78,0.17289,18.759,0.02863
292.5,65,75.301,0.01328,203.15,289.47,5.5359,0.75871,1.1509,362.8,0.17286,18.76,0.028632
292.53,65,75.293,0.013281,203.17,289.5,5.536,0.75871,1.1509,362.82,0.17283,18.761,0.028633
292.55,65,75.285,0.013283,203.2,289.53,5.5361,0.7587,1.1509,362.84,0.17279,18.762,0.028635
292.58,65,75.277,0.013284,203.22,289.56,5.5362,0.7587,1.1508,362.85,0.17276,18.763,0.028636
292.6,65,75.27,0.013286,203.24,289.59,5.5363,0.7587,1.1508,362.87,0.17273,18.764,0.028638
292.63,65,75.262,0.013287,203.26,289.63,5.5365,0.75869,1.1508,362.89,0.17269,18.765,0.028639
292.66,65,75.254,0.013288,203.28,289.66,5.5366,0.75869,1.1507,362.91,0.17266,18.766,0.028641
292.68,65,75.246,0.01329,203.3,289.69,5.5367,0.75869,1.1507,362.92,0.17262,18.767,0.028642
292.71,65,75.239,0.013291,203.32,289.72,5.5368,0.75869,1.1507,362.94,0.17259,18.769,0.028644
292.74,65,75.231,0.013292,203.35,289.75,5.5369,0.75868,1.1507,362.96,0.17256,18.77,0.028645
292.76,65,75.223,0.013294,203.37,289.78,5.537,0.75868,1.1506,362.98,0.17252,18.771,0.028647
292.79,65,75.215,0.013295,203.39,289.81,5.5371,0.75868,1.1506,362.99,0.17249,18.772,0.028648
292.82,65,75.207,0.013297,203.41,289.84,5.5372,0.75867,1.1506,363.01,0.17245,18.773,0.02865
292.84,65,75.2,0.013298,203.43,289.87,5.5373,0.75867,1.1506,363.03,0.17242,18.774,0.028651
292.87,65,75.192,0.013299,203.45,289.9,5.5374,0.75867,1.1505,363.04,0.17239,18.775,0.028653
292.89,65,75.184,0.013301,203.47,289.93,5.5375,0.75866,1.1505,363.06,0.17235,18.776,0.028654
292.92,65,75.176,0.013302,203.5,289.96,5.5376,0.75866,1.1505,363.08,0.17232,18.777,0.028656
292.95,65,75.168,0.013303,203.52,289.99,5.5377,0.75866,1.1505,363.1,0.17229,18.778,0.028657
292.97,65,75.161,0.013305,203.54,290.02,5.5378,0.75865,1.1504,363.11,0.17225,18.779,0.028659
293,65,75.153,0.013306,203.56,290.05,5.5379,0.75865,1.1504,363.13,0.17222,18.78,0.028661
293.03,65,75.145,0.013308,203.58,290.08,5.538,0.75865,1.1504,363.15,0.17218,18.781,0.028662
293.05,65,75.137,0.013309,203.6,290.11,5.5381,0.75864,1.1503,363.17,0.17215,18.782,0.028664
293.08,65,75.13,0.01331,203.62,290.14,5.5382,0.75864,1.1503,363.18,0.17212,18.783,0.028665
293.11,65,75.122,0.013312,203.65,290.17,5.5383,0.75864,1.1503,363.2,0.17208,18.784,0.028667
293.13,65,75.114,0.013313,203.67,290.2,5.5384,0.75864,1.1503,363.22,0.17205,18.785,0.028668
293.16,65,75.106,0.013314,203.69,290.23,5.5385,0.75863,1.1502,363.23,0.17202,18.786,0.02867
293.19,65,75.098,0.013316,203.71,290.26,5.5386,0.75863,1.1502,363.25,0.17198,18.787,0.028671
293.21,65,75.091,0.013317,203.73,290.29,5.5387,0.75863,1.1502,363.27,0.17195,18.789,0.028673
293.24,65,75.083,0.013319,203.75,290.32,5.5388,0.75862,1.1502,363.29,0.17192,18.79,0.028674
293.26,65,75.075,0.01332,203.77,290.35,5.5389,0.75862,1.1501,363.3,0.17188,18.791,0.028676
293.29,65,75.067,0.013321,203.8,290.38,5.539,0.75862,1.1501,363.32,0.17185,18.792,0.028677
293.32,65,75.06,0.013323,203.82,290.41,5.5391,0.75861,1.1501,363.34,0.17181,18.793,0.028679
293.34,65,75.052,0.013324,203.84,290.44,5.5392,0.75861,1.1501,363.35,0.17178,18.794,0.02868
293.37,65,75.044,0.013325,203.86,290.47,5.5394,0.75861,1.15,363.37,0.17175,18.795,0.028682
293.4,65,75.036,0.013327,203.88,290.51,5.5395,0.7586,1.15,363.39,0.17171,18.796,0.028683
293.42,65,75.029,0.013328,203.9,290.54,5.5396,0.7586,1.15,363.41,0.17168,18.797,0.028685
293.45,65,75.021,0.01333,203.92,290.57,5.5397,0.7586,1.15,363.42,0.17165,18.798,0.028686
293.48,65,75.013,0.013331,203.94,290.6,5.5398,0.7586,1.1499,363.44,0.17161,18.799,0.028688
293.5,65,75.005,0.013332,203.97,290.63,5.5399,0.75859,1.1499,363.46,0.17158,18.8,0.02869
293.53,65,74.998,0.013334,203.99,290.66,5.54,0.75859,1.1499,363.48,0.17155,18.801,0.028691
293.55,65,74.99,0.013335,204.01,290.69,5.5401,0.75859,1.1498,363.49,0.17151,18.802,0.028693
293.58,65,74.982,0.013336,204.03,290.72,5.5402,0.75858,1.1498,363.51,0.17148,18.803,0.028694
293.61,65,74.975,0.013338,204.05,290.75,5.5403,0.75858,1.1498,363.53,0.17144,18.804,0.028696
293.63,65,74.967,0.013339,204.07,290.78,5.5404,0.75858,1.1498,363.54,0.17141,18.805,0.028697
293.66,65,74.959,0.013341,204.09,290.81,5.5405,0.75857,1.1497,363.56,0.17138,18.806,0.028699
293.69,65,74.951,0.013342,204.12,290.84,5.5406,0.75857,1.1497,363.58,0.17134,18.807,0.0287
293.71,65,74.944,0.013343,204.14,290.87,5.5407,0.75857,1.1497,363.6,0.17131,18.808,0.028702
293.74,65,74.936,0.013345,204.16,290.9,5.5408,0.75856,1.1497,363.61,0.17128,18.81,0.028703
293.77,65,74.928,0.013346,204.18,290.93,5.5409,0.75856,1.1496,363.63,0.17124,18.811,0.028705
293.79,65,74.92,0.013347,204.2,290.96,5.541,0.75856,1.1496,363.65,0.17121,18.812,0.028706
293.82,65,74.913,0.013349,204.22,290.99,5.5411,0.75856,1.1496,363.67,0.17118,18.813,0.028708
293.84,65,74.905,0.01335,204.24,291.02,5.5412,0.75855,1.1496,363.68,0.17114,18.814,0.028709
293.87,65,74.897,0.013352,204.27,291.05,5.5413,0.75855,1.1495,363.7,0.17111,18.815,0.028711
293.9,65,74.89,0.013353,204.29,291.08,5.5414,0.75855,1.1495,363.72,0.17108,18.816,0.028712
293.92,65,74.882,0.013354,204.31,291.11,5.5415,0.75854,1.1495,363.73,0.17104,18.817,0.028714
293.95,65,74.874,0.013356,204.33,291.14,5.5416,0.75854,1.1495,363.75,0.17101,18.818,0.028715
293.98,65,74.866,0.013357,204.35,291.17,5.5417,0.75854,1.1494,363.77,0.17098,18.819,0.028717
294,65,74.859,0.013358,204.37,291.2,5.5418,0.75853,1.1494,363.79,0.17094,18.82,0.028718
294.03,65,74.851,0.01336,204.39,291.23,5.5419,0.75853,1.1494,363.8,0.17091,18.821,0.02872
294.06,65,74.843,0.013361,204.42,291.26,5.542,0.75853,1.1494,363.82,0.17087,18.822,0.028722
294.08,65,74.836,0.013363,204.44,291.29,5.5421,0.75853,1.1493,363.84,0.17084,18.823,0.028723
294.11,65,74.828,0.013364,204.46,291.32,5.5422,0.75852,1.1493,363.85,0.17081,18.824,0.028725
294.13,65,74.82,0.013365,204.48,291.35,5.5423,0.75852,1.1493,363.87,0.17077,18.825,0.028726
294.16,65,74.813,0.013367,204.5,291.38,5.5425,0.75852,1.1492,363.89,0.17074,18.826,0.028728
294.19,65,74.805,0.013368,204.52,291.42,5.5426,0.75851,1.1492,363.91,0.17071,18.827,0.028729
294.21,65,74.797,0.013369,204.54,291.45,5.5427,0.75851,1.1492,363.92,0.17067,18.828,0.028731
294.24,65,74.789,0.013371,204.57,291.48,5.5428,0.75851,1.1492,363.94,0.17064,18.83,0.028732
294.27,65,74.782,0.013372,204.59,291.51,5.5429,0.7585,1.1491,363.96,0.17061,18.831,0.028734
294.29,65,74.774,0.013374,204.61,291.54,5.543,0.7585,1.1491,363.97,0.17057,18.832,0.028735
294.32,65,74.766,0.013375,204.63,291.57,5.5431,0.7585,1.1491,363.99,0.17054,18.833,0.028737
294.35,65,74.759,0.013376,204.65,291.6,5.5432,0.75849,1.1491,364.01,0.17051,18.834,0.028738
294.37,65,74.751,0.013378,204.67,291.63,5.5433,0.75849,1.149,364.03,0.17047,18.835,0.02874
294.4,65,74.743,0.013379,204.69,291.66,5.5434,0.75849,1.149,364.04,0.17044,18.836,0.028741
294.43,65,74.736,0.01338,204.71,291.69,5.5435,0.75849,1.149,364.06,0.17041,18.837,0.028743
294.45,65,74.728,0.013382,204.74,291.72,5.5436,0.75848,1.149,364.08,0.17037,18.838,0.028744
294.48,65,74.72,0.013383,204.76,291.75,5.5437,0.75848,1.1489,364.1,0.17034,18.839,0.028746
294.5,65,74.713,0.013385,204.78,291.78,5.5438,0.75848,1.1489,364.11,0.17031,18.84,0.028747
294.53,65,74.705,0.013386,204.8,291.81,5.5439,0.75847,1.1489,364.13,0.17027,18.841,0.028749
294.56,65,74.697,0.013387,204.82,291.84,5.544,0.75847,1.1489,364.15,0.17024,18.842,0.028751
294.58,65,74.69,0.013389,204.84,291.87,5.5441,0.75847,1.1488,364.16,0.17021,18.843,0.028752
294.61,65,74.682,0.01339,204.86,291.9,5.5442,0.75846,1.1488,364.18,0.17017,18.844,0.028754
294.64,65,74.674,0.013391,204.89,291.93,5.5443,0.75846,1.1488,364.2,0.17014,18.845,0.028755
294.66,65,74.667,0.013393,204.91,291.96,5.5444,0.75846,1.1488,364.22,0.17011,18.846,0.028757
294.69,65,74.659,0.013394,204.93,291.99,5.5445,0.75846,1.1487,364.23,0.17007,18.847,0.028758
294.72,65,74.651,0.013396,204.95,292.02,5.5446,0.75845,1.1487,364.25,0.17004,18.848,0.02876
294.74,65,74.644,0.013397,204.97,292.05,5.5447,0.75845,1.1487,364.27,0.17001,18.85,0.028761
294.77,65,74.636,0.013398,204.99,292.08,5.5448,0.75845,1.1487,364.28,0.16997,18.851,0.028763
294.79,65,74.628,0.0134,205.01,292.11,5.5449,0.75844,1.1486,364.3,0.16994,18.852,0.028764
294.82,65,74.621,0.013401,205.04,292.14,5.545,0.75844,1.1486,364.32,0.16991,18.853,0.028766
294.85,65,74.613,0.013402,205.06,292.17,5.5451,0.75844,1.1486,364.34,0.16987,18.854,0.028767
294.87,65,74.605,0.013404,205.08,292.2,5.5452,0.75843,1.1485,364.35,0.16984,18.855,0.028769
294.9,65,74.598,0.013405,205.1,292.23,5.5453,0.75843,1.1485,364.37,0.16981,18.856,0.02877
294.93,65,74.59,0.013407,205.12,292.26,5.5454,0.75843,1.1485,364.39,0.16977,18.857,0.028772
294.95,65,74.582,0.013408,205.14,292.29,5.5455,0.75843,1.1485,364.4,0.16974,18.858,0.028773
294.98,65,74.575,0.013409,205.16,292.32,5.5456,0.75842,1.1484,364.42,0.16971,18.859,0.028775
295.01,65,74.567,0.013411,205.19,292.35,5.5457,0.75842,1.1484,364.44,0.16967,18.86,0.028776
295.03,65,74.56,0.013412,205.21,292.39,5.5458,0.75842,1.1484,364.46,0.16964,18.861,0.028778
295.06,65,74.552,0.013413,205.23,292.42,5.5459,0.75841,1.1484,364.47,0.16961,18.862,0.02878
295.08,65,74.544,0.013415,205.25,292.45,5.5461,0.75841,1.1483,364.49,0.16957,18.863,0.028781
