Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K)
301.65,65,72.697,0.013756,210.56,299.97,5.5713,0.75771,1.1423,368.72,0.1615,19.125,0.029162
301.68,65,72.69,0.013757,210.58,300,5.5714,0.75771,1.1422,368.74,0.16147,19.126,0.029164
301.71,65,72.683,0.013758,210.6,300.03,5.5715,0.75771,1.1422,368.76,0.16144,19.127,0.029165
301.73,65,72.676,0.01376,210.62,300.06,5.5716,0.75771,1.1422,368.78,0.16141,19.128,0.029167
301.76,65,72.668,0.013761,210.64,300.09,5.5717,0.7577,1.1422,368.79,0.16138,19.129,0.029169
301.79,65,72.661,0.013763,210.66,300.12,5.5718,0.7577,1.1421,368.81,0.16135,19.13,0.02917
301.81,65,72.654,0.013764,210.68,300.15,5.5719,0.7577,1.1421,368.83,0.16131,19.131,0.029172
301.84,65,72.647,0.013765,210.71,300.18,5.572,0.7577,1.1421,368.84,0.16128,19.132,0.029173
301.87,65,72.639,0.013767,210.73,300.21,5.5721,0.75769,1.1421,368.86,0.16125,19.133,0.029175
301.89,65,72.632,0.013768,210.75,300.24,5.5722,0.75769,1.1421,368.88,0.16122,19.135,0.029176
301.92,65,72.625,0.013769,210.77,300.27,5.5723,0.75769,1.142,368.89,0.16119,19.136,0.029178
301.94,65,72.618,0.013771,210.79,300.3,5.5724,0.75769,1.142,368.91,0.16116,19.137,0.029179
301.97,65,72.611,0.013772,210.81,300.33,5.5725,0.75768,1.142,368.93,0.16112,19.138,0.029181
302,65,72.604,0.013773,210.83,300.36,5.5726,0.75768,1.142,368.94,0.16109,19.139,0.029182
302.02,65,72.596,0.013775,210.85,300.39,5.5727,0.75768,1.1419,368.96,0.16106,19.14,0.029184
302.05,65,72.589,0.013776,210.88,300.42,5.5728,0.75768,1.1419,368.98,0.16103,19.141,0.029185
302.08,65,72.582,0.013778,210.9,300.45,5.5729,0.75767,1.1419,368.99,0.161,19.142,0.029187
302.1,65,72.575,0.013779,210.92,300.48,5.573,0.75767,1.1419,369.01,0.16097,19.143,0.029188
302.13,65,72.568,0.01378,210.94,300.51,5.5731,0.75767,1.1418,369.03,0.16094,19.144,0.02919
302.16,65,72.56,0.013782,210.96,300.54,5.5732,0.75766,1.1418,369.04,0.1609,19.145,0.029192
302.18,65,72.553,0.013783,210.98,300.57,5.5733,0.75766,1.1418,369.06,0.16087,19.146,0.029193
302.21,65,72.546,0.013784,211,300.6,5.5734,0.75766,1.1418,369.08,0.16084,19.147,0.029195
302.23,65,72.539,0.013786,211.03,300.63,5.5735,0.75766,1.1417,369.1,0.16081,19.148,0.029196
302.26,65,72.532,0.013787,211.05,300.66,5.5736,0.75765,1.1417,369.11,0.16078,19.149,0.029198
302.29,65,72.525,0.013788,211.07,300.69,5.5737,0.75765,1.1417,369.13,0.16075,19.15,0.029199
302.31,65,72.517,0.01379,211.09,300.72,5.5738,0.75765,1.1417,369.15,0.16072,19.151,0.029201
302.34,65,72.51,0.013791,211.11,300.75,5.5739,0.75765,1.1417,369.16,0.16068,19.152,0.029202
302.37,65,72.503,0.013793,211.13,300.78,5.574,0.75764,1.1416,369.18,0.16065,19.153,0.029204
302.39,65,72.496,0.013794,211.15,300.81,5.5741,0.75764,1.1416,369.2,0.16062,19.155,0.029205
302.42,65,72.489,0.013795,211.17,300.84,5.5742,0.75764,1.1416,369.21,0.16059,19.156,0.029207
302.45,65,72.482,0.013797,211.2,300.87,5.5743,0.75764,1.1416,369.23,0.16056,19.157,0.029208
302.47,65,72.474,0.013798,211.22,300.9,5.5744,0.75763,1.1415,369.25,0.16053,19.158,0.02921
302.5,65,72.467,0.013799,211.24,300.93,5.5745,0.75763,1.1415,369.26,0.16049,19.159,0.029212
302.52,65,72.46,0.013801,211.26,300.96,5.5746,0.75763,1.1415,369.28,0.16046,19.16,0.029213
302.55,65,72.453,0.013802,211.28,300.99,5.5747,0.75763,1.1415,369.3,0.16043,19.161,0.029215
302.58,65,72.446,0.013803,211.3,301.02,5.5748,0.75762,1.1415,369.31,0.1604,19.162,0.029216
302.6,65,72.439,0.013805,211.32,301.05,5.5749,0.75762,1.1414,369.33,0.16037,19.163,0.029218
302.63,65,72.431,0.013806,211.34,301.08,5.575,0.75762,1.1414,369.35,0.16034,19.164,0.029219
302.66,65,72.424,0.013808,211.37,301.11,5.5751,0.75762,1.1414,369.36,0.16031,19.165,0.029221
302.68,65,72.417,0.013809,211.39,301.14,5.5752,0.75761,1.1414,369.38,0.16027,19.166,0.029222
302.71,65,72.41,0.01381,211.41,301.17,5.5753,0.75761,1.1413,369.4,0.16024,19.167,0.029224
302.74,65,72.403,0.013812,211.43,301.2,5.5754,0.75761,1.1413,369.41,0.16021,19.168,0.029225
302.76,65,72.396,0.013813,211.45,301.23,5.5755,0.75761,1.1413,369.43,0.16018,19.169,0.029227
302.79,65,72.389,0.013814,211.47,301.26,5.5756,0.7576,1.1413,369.45,0.16015,19.17,0.029228
302.82,65,72.381,0.013816,211.49,301.29,5.5757,0.7576,1.1412,369.47,0.16012,19.171,0.02923
302.84,65,72.374,0.013817,211.51,301.32,5.5758,0.7576,1.1412,369.48,0.16009,19.172,0.029231
302.87,65,72.367,0.013818,211.54,301.35,5.5759,0.7576,1.1412,369.5,0.16006,19.173,0.029233
302.89,65,72.36,0.01382,211.56,301.39,5.576,0.75759,1.1412,369.52,0.16002,19.174,0.029235
302.92,65,72.353,0.013821,211.58,301.42,5.5761,0.75759,1.1412,369.53,0.15999,19.176,0.029236
302.95,65,72.346,0.013823,211.6,301.45,5.5762,0.75759,1.1411,369.55,0.15996,19.177,0.029238
302.97,65,72.339,0.013824,211.62,301.48,5.5763,0.75759,1.1411,369.57,0.15993,19.178,0.029239
303,65,72.331,0.013825,211.64,301.51,5.5763,0.75758,1.1411,369.58,0.1599,19.179,0.029241
303.03,65,72.324,0.013827,211.66,301.54,5.5764,0.75758,1.1411,369.6,0.15987,19.18,0.029242
303.05,65,72.317,0.013828,211.68,301.57,5.5765,0.75758,1.141,369.62,0.15984,19.181,0.029244
303.08,65,72.31,0.013829,211.71,301.6,5.5766,0.75758,1.141,369.63,0.1598,19.182,0.029245
303.11,65,72.303,0.013831,211.73,301.63,5.5767,0.75757,1.141,369.65,0.15977,19.183,0.029247
303.13,65,72.296,0.013832,211.75,301.66,5.5768,0.75757,1.141,369.67,0.15974,19.184,0.029248
303.16,65,72.289,0.013833,211.77,301.69,5.5769,0.75757,1.1409,369.68,0.15971,19.185,0.02925
303.18,65,72.282,0.013835,211.79,301.72,5.577,0.75756,1.1409,369.7,0.15968,19.186,0.029251
303.21,65,72.274,0.013836,211.81,301.75,5.5771,0.75756,1.1409,369.72,0.15965,19.187,0.029253
303.24,65,72.267,0.013838,211.83,301.78,5.5772,0.75756,1.1409,369.73,0.15962,19.188,0.029255
303.26,65,72.26,0.013839,211.85,301.81,5.5773,0.75756,1.1409,369.75,0.15959,19.189,0.029256
303.29,65,72.253,0.01384,211.88,301.84,5.5774,0.75755,1.1408,369.77,0.15955,19.19,0.029258
303.32,65,72.246,0.013842,211.9,301.87,5.5775,0.75755,1.1408,369.78,0.15952,19.191,0.029259
303.34,65,72.239,0.013843,211.92,301.9,5.5776,0.75755,1.1408,369.8,0.15949,19.192,0.029261
303.37,65,72.232,0.013844,211.94,301.93,5.5777,0.75755,1.1408,369.82,0.15946,19.193,0.029262
303.4,65,72.225,0.013846,211.96,301.96,5.5778,0.75754,1.1407,369.83,0.15943,19.194,0.029264
303.42,65,72.218,0.013847,211.98,301.99,5.5779,0.75754,1.1407,369.85,0.1594,19.196,0.029265
303.45,65,72.21,0.013848,212,302.02,5.578,0.75754,1.1407,369.87,0.15937,19.197,0.029267
303.47,65,72.203,0.01385,212.02,302.05,5.5781,0.75754,1.1407,369.88,0.15934,19.198,0.029268
303.5,65,72.196,0.013851,212.05,302.08,5.5782,0.75753,1.1407,369.9,0.1593,19.199,0.02927
303.53,65,72.189,0.013852,212.07,302.11,5.5783,0.75753,1.1406,369.92,0.15927,19.2,0.029271
303.55,65,72.182,0.013854,212.09,302.14,5.5784,0.75753,1.1406,369.94,0.15924,19.201,0.029273
303.58,65,72.175,0.013855,212.11,302.17,5.5785,0.75753,1.1406,369.95,0.15921,19.202,0.029275
303.61,65,72.168,0.013857,212.13,302.2,5.5786,0.75752,1.1406,369.97,0.15918,19.203,0.029276
303.63,65,72.161,0.013858,212.15,302.23,5.5787,0.75752,1.1405,369.99,0.15915,19.204,0.029278
303.66,65,72.154,0.013859,212.17,302.26,5.5788,0.75752,1.1405,370,0.15912,19.205,0.029279
303.69,65,72.147,0.013861,212.19,302.29,5.5789,0.75752,1.1405,370.02,0.15909,19.206,0.029281
303.71,65,72.14,0.013862,212.21,302.32,5.579,0.75751,1.1405,370.04,0.15905,19.207,0.029282
303.74,65,72.132,0.013863,212.24,302.35,5.5791,0.75751,1.1404,370.05,0.15902,19.208,0.029284
303.76,65,72.125,0.013865,212.26,302.38,5.5792,0.75751,1.1404,370.07,0.15899,19.209,0.029285
303.79,65,72.118,0.013866,212.28,302.41,5.5793,0.75751,1.1404,370.09,0.15896,19.21,0.029287
303.82,65,72.111,0.013867,212.3,302.44,5.5794,0.7575,1.1404,370.1,0.15893,19.211,0.029288
303.84,65,72.104,0.013869,212.32,302.47,5.5795,0.7575,1.1404,370.12,0.1589,19.212,0.02929
303.87,65,72.097,0.01387,212.34,302.5,5.5796,0.7575,1.1403,370.14,0.15887,19.213,0.029291
303.9,65,72.09,0.013872,212.36,302.53,5.5797,0.7575,1.1403,370.15,0.15884,19.214,0.029293
303.92,65,72.083,0.013873,212.38,302.56,5.5798,0.75749,1.1403,370.17,0.15881,19.215,0.029295
303.95,65,72.076,0.013874,212.41,302.59,5.5799,0.75749,1.1403,370.19,0.15877,19.217,0.029296
303.98,65,72.069,0.013876,212.43,302.62,5.58,0.75749,1.1402,370.2,0.15874,19.218,0.029298
304,65,72.062,0.013877,212.45,302.65,5.5801,0.75749,1.1402,370.22,0.15871,19.219,0.029299
304.03,65,72.055,0.013878,212.47,302.68,5.5802,0.75748,1.1402,370.24,0.15868,19.22,0.029301
304.06,65,72.048,0.01388,212.49,302.71,5.5803,0.75748,1.1402,370.25,0.15865,19.221,0.029302
304.08,65,72.04,0.013881,212.51,302.74,5.5804,0.75748,1.1402,370.27,0.15862,19.222,0.029304
304.11,65,72.033,0.013882,212.53,302.77,5.5805,0.75748,1.1401,370.29,0.15859,19.223,0.029305
304.13,65,72.026,0.013884,212.55,302.8,5.5806,0.75747,1.1401,370.3,0.15856,19.224,0.029307
304.16,65,72.019,0.013885,212.58,302.83,5.5807,0.75747,1.1401,370.32,0.15853,19.225,0.029308
304.19,65,72.012,0.013887,212.6,302.86,5.5808,0.75747,1.1401,370.34,0.15849,19.226,0.02931
304.21,65,72.005,0.013888,212.62,302.89,5.5809,0.75747,1.14,370.35,0.15846,19.227,0.029311
304.24,65,71.998,0.013889,212.64,302.92,5.581,0.75746,1.14,370.37,0.15843,19.228,0.029313
304.27,65,71.991,0.013891,212.66,302.95,5.5811,0.75746,1.14,370.39,0.1584,19.229,0.029314
304.29,65,71.984,0.013892,212.68,302.98,5.5812,0.75746,1.14,370.4,0.15837,19.23,0.029316
304.32,65,71.977,0.013893,212.7,303.01,5.5813,0.75746,1.14,370.42,0.15834,19.231,0.029318
304.35,65,71.97,0.013895,212.72,303.04,5.5814,0.75745,1.1399,370.44,0.15831,19.232,0.029319
304.37,65,71.963,0.013896,212.75,303.07,5.5815,0.75745,1.1399,370.45,0.15828,19.233,0.029321
304.4,65,71.956,0.013897,212.77,303.1,5.5816,0.75745,1.1399,370.47,0.15825,19.234,0.029322
304.42,65,71.949,0.013899,212.79,303.13,5.5817,0.75745,1.1399,370.49,0.15822,19.235,0.029324
304.45,65,71.942,0.0139,212.81,303.16,5.5818,0.75744,1.1398,370.5,0.15818,19.236,0.029325
304.48,65,71.935,0.013902,212.83,303.19,5.5819,0.75744,1.1398,370.52,0.15815,19.238,0.029327
304.5,65,71.928,0.013903,212.85,303.22,5.582,0.75744,1.1398,370.54,0.15812,19.239,0.029328
304.53,65,71.921,0.013904,212.87,303.25,5.5821,0.75744,1.1398,370.55,0.15809,19.24,0.02933
