t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma
59,0,0,20.29433962665404,0,0,-5.862009947831397,76.66593625852488,0,0,9.97052034567214,9.97052035089646
60,0,0,19.47538444323721,0,0,-5.836256683031996,76.60521312511463,0,0,10.0173888804725,10.01738888582412
61,0,0,18.66049511042835,0,0,-5.803911735685918,76.5442523492557,0,0,10.064883191622084,10.064883197122516
62,0,0,17.85060433289073,0,0,-5.764808309490266,76.48304735046787,0,0,10.114106473139707,10.114106478785386
63,0,0,17.046678293554134,0,0,-5.718640757792848,76.4215855643593,0,0,10.16591327589217,10.165913281654536
64,0,0,16.249733187771188,0,0,-5.6650091419252195,76.35985039398702,0,0,10.220778629863231,10.220778635693645
65,-0,-0,15.460844412096643,-0,-0,-5.603478281115355,76.29782377832329,-0,-0,10.27872385068241,10.278723856521314
66,-0,-0,14.681146965918446,-0,-0,-5.533642730717137,76.23548900442601,-0,-0,10.339306596071236,10.339306601860114
67,-0,-0,13.911826869367749,-0,-0,-5.455188664047244,76.17283337233476,-0,-0,10.401674160115563,10.401674165809562
68,-0,-0,13.154104626815151,-0,-0,-5.367944363151768,76.10985035569988,-0,-0,10.464670731457783,10.464670737036585
69,-0,-0,12.409212811612013,-0,-0,-5.271912826621654,76.04654098115894,-0,-0,10.526982442688437,10.526982448163002
70,-0,-0,11.678370580792988,-0,-0,-5.167282622910733,75.9829142641748,-0,-0,10.58729938494661,10.58729939036
71,0,0,10.962758258007371,0,0,-5.054416194991321,75.91898667257769,0,0,10.64447195820495,10.644471963626348
72,0,0,10.263495014042212,0,0,-4.933817936222629,75.8547807232051,0,0,10.697640214180847,10.697640219693326
73,0,0,9.581622151875283,0,0,-4.806087082350826,75.79032293343687,0,0,10.746319056730755,10.746319062414651
74,0,0,8.918093648788751,0,0,-4.6718624271823375,75.72564143219827,0,0,10.790428721678586,10.790428727593568
75,0,0,8.273774548696782,0,0,-4.53176680146802,75.66076357290844,0,0,10.830267947983643,10.830267954153525
76,0,0,7.649446688208924,0,0,-4.386359033769711,75.59571387904816,0,0,10.866435527465285,10.866435533869627
77,0,0,7.045820240250597,0,0,-4.236099784269571,75.53051259389235,0,0,10.89971325982794,10.899713266403602
78,-0,-0,6.4635488113224495,-0,-0,-4.08133541869322,75.46517500897681,-0,-0,10.93092863472212,10.930928641376314
79,-0,-0,5.903245435151859,-0,-0,-3.922301316970855,75.39971162618684,-0,-0,10.960818007339112,10.960818013972863
80,-0,-0,5.3654968139297585,-0,-0,-3.7591431188756896,75.33412908450676,-0,-0,10.989910290636917,10.989910297174774
81,-0,-0,4.850873554344614,-0,-0,-3.5919518336070793,75.26843167311813,-0,-0,11.018447489159609,11.018447495578762
82,-0,-0,4.359934858072528,-0,-0,-3.4208068453419767,75.20262317301716,-0,-0,11.046352557603305,11.04635256395349
83,0,0,3.893227042849636,0,0,-3.245819847718861,75.13670872858273,0,0,11.073248347603458,11.073248354009076
84,0,0,3.451276261434123,0,0,-3.0671726585280683,75.07069644912636,0,0,11.098525257203192,11.09852526384186
85,0,0,3.0345767331643314,0,0,-2.8851425311387437,75.00459847083219,0,0,11.121450831323525,11.12145083838102
86,0,0,2.643576621636048,0,0,-2.7001096982729655,74.93843125892401,0,0,11.14131242539175,11.14131243300135
87,0,0,2.27866433900758,0,0,-2.5125431869134394,74.87221498676095,0,0,11.157583270764855,11.157583278948584
88,-0,-0,1.9401585132084957,-0,-0,-2.3229623995661743,74.80597189148499,-0,-0,11.17010028006779,11.170100288704557
89,-0,-0,1.6283050725554182,-0,-0,-2.1318740230599404,74.73972359405003,-0,-0,11.179234384735189,11.179234393582671
90,-0,-0,1.3432847263053882,-0,-0,-1.9396876441001465,74.6734875330472,-0,-0,11.186015843137415,11.186015851925752
91,-0,-0,1.085233182771345,-0,-0,-1.746620852548411,74.60727297341549,-0,-0,11.192143717968168,11.192143726559586
92,-0,-0,0.8542740988965616,-0,-0,-1.552617686963492,74.54107759974418,-0,-0,11.19976194196408,11.199761950532164
93,0,0,0.6505601019019709,0,0,-1.3573241351809204,74.4748865342618,0,0,11.210838212513961,11.210838221645574
94,0,0,0.47430942157735484,0,0,-1.1601886240306523,74.40867662720537,0,0,11.225975162014182,11.225975172596861
95,0,0,0.32581471878078305,0,0,-0.9607734309638368,74.34242960471116,0,0,11.242597323194095,11.242597335969824
96,-0,-0,0.20538907056324865,-0,-0,-0.7593482595117759,74.27615701553626,-0,-0,11.252842985565684,11.25284300039836
97,-0,-0,0.11320974857888386,-0,-0,-0.5577353253671026,74.20993561411925,-0,-0,11.242404535185369,11.242404550562402
98,0,0,0.04904200354359447,0,0,-0.360085228431063,74.14393964768902,0,0,11.193420666566176,11.19342068089435
99,0,0,0.011910044422098672,0,0,-0.17261023369442063,74.07842923470326,0,0,11.097975251806288,11.097975270077622
100,0,0,-0.000000000000000004561548530134504,0,0,0.000000000000000022168217118698016,74.01359975844008,0,0,10.994771666397192,10.994771719415795
