t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma
69,0,0,24.662720092038967,0,0,-11.52352093844848,78.9951072589568,0,0,12.02369089923414,12.023690900049402
70,0,0,24.086544045116558,0,0,-11.412836393486774,78.968217150117,0,0,12.075744496684585,12.075744497504116
71,0,0,23.515902225442225,0,0,-11.299549168652547,78.94121984017312,0,0,12.121711301915182,12.121711302739394
72,0,0,22.950924767009603,0,0,-11.183963603556792,78.9141290463727,0,0,12.162716427802227,12.162716428631585
73,0,0,22.39172658683177,0,0,-11.066327782166683,78.88695595443487,0,0,12.199611677745771,12.19961167858035
74,0,0,21.83841019772344,0,0,-10.946847198279398,78.85970983303426,0,0,12.233054720169385,12.233054721009367
75,0,0,21.291067837809493,0,0,-10.825694462270933,78.83239847033234,0,0,12.263563053425623,12.26356305427122
76,0,0,20.74978311469594,0,0,-10.703016309599656,78.80502848922565,0,0,12.291550671049126,12.291550671900442
77,0,0,20.21463229921598,0,0,-10.578938776047204,78.77760558017823,0,0,12.317353646893714,12.31735364775054
78,0,0,19.685685360413622,0,0,-10.453571093702521,78.75013467653523,0,0,12.341248185043062,12.341248185905403
79,0,0,19.163006805728507,0,0,-10.327008684450375,78.72262008925152,0,0,12.363463658467987,12.36346365933583
80,0,0,18.646656371505998,0,0,-10.19933550152698,78.69506561229568,0,0,12.38419232760356,12.384192328476953
81,0,0,18.136689596429648,0,0,-10.070625885146805,78.66747460619212,0,0,12.403596701817799,12.403596702696424
82,0,0,17.633158302172323,0,0,-9.940946050055922,78.63985006500313,0,0,12.421815247313003,12.421815248196769
83,0,0,17.13611099966953,0,0,-9.810355287690276,78.61219467046959,0,0,12.438966848329185,12.438966849217968
84,0,0,16.645593235285027,0,0,-9.678906945273825,78.5845108361154,0,0,12.455154374030954,12.45515437492443
85,0,0,16.161647888021346,0,0,-9.546649226572283,78.55680074332682,0,0,12.470467539594626,12.470467540492672
86,0,0,15.68431542669274,0,0,-9.413625849592558,78.52906637099848,0,0,12.484985205923376,12.48498520682562
87,0,0,15.213634134213116,0,0,-9.279876589296396,78.5013095200055,0,0,12.498777259533849,12.498777260440164
88,0,0,14.74964030474831,0,0,-9.14543772631971,78.47353183344947,0,0,12.511906139613181,12.51190614052311
89,0,0,14.292368418432337,0,0,-9.010342419339057,78.44573481347088,0,0,12.524428063043295,12.524428063956718
90,0,0,13.84185129746539,0,0,-8.8746210161869,78.41791983530723,0,0,12.536394057703209,12.536394058619914
91,0,0,13.398120246656054,0,0,-8.738301313301747,78.39008815902935,0,0,12.547850766770358,12.54785076769018
92,0,0,12.96120518099097,0,0,-8.601408774963238,78.36224093946774,0,0,12.55884111403118,12.558841114954125
93,0,0,12.531134742242827,0,0,-8.463966719261686,78.33437923464517,0,0,12.569404833402356,12.569404834328223
94,0,0,12.107936406279745,0,0,-8.325996477591577,78.30650401301575,0,0,12.579578888154293,12.579578889082937
95,0,0,11.691636582400173,0,0,-8.18751753318387,78.27861615976236,0,0,12.589397791833292,12.589397792764961
96,0,0,11.282260705740988,0,0,-8.048547643592213,78.25071648236755,0,0,12.598893854281533,12.598893855216511
97,0,0,10.879833323561392,0,0,-7.909102950878147,78.22280571563051,0,0,12.608097357643427,12.608097358581901
98,0,0,10.484378176017485,0,0,-7.769198082995985,78.19488452628296,0,0,12.61703668426496,12.617036685207253
99,0,0,10.095918271867696,0,0,-7.628846248782746,78.1669535173134,0,0,12.625738398644815,12.625738399591578
100,0,0,9.714475959428569,0,0,-7.488059328850515,78.13901323209967,0,0,12.63422729088791,12.63422729183954
101,0,0,9.340072992986054,0,0,-7.3468479643061295,78.11106415843848,0,0,12.642526400294447,12.642526401251795
102,0,0,8.972730594770754,0,0,-7.2052216442914165,78.08310673251398,0,0,12.650657022322859,12.650657023286485
103,0,0,8.61246951255619,0,0,-7.063188793175284,78.05514134284257,0,0,12.658638703350823,12.658638704321733
104,0,0,8.259310072897438,0,0,-6.920756858007754,78.0271683342209,0,0,12.66648923953629,12.666489240515133
105,0,0,7.913272229997058,0,0,-6.77793239603095,77.99918801166896,0,0,12.674224665426642,12.674224666414517
106,0,0,7.574375610195524,0,0,-6.634721162759629,77.97120064438916,0,0,12.681859265855659,12.681859266853472
107,0,0,7.242639552057547,0,0,-6.491128199466857,77.94320646969156,0,0,12.689405587964721,12.689405588973134
108,0,0,6.9180831420842095,0,0,-6.347157920068633,77.91520569688404,0,0,12.696874471582406,12.696874472602294
109,0,0,6.600725246080795,0,0,-6.202814196489525,77.8871985110865,0,0,12.704275098281304,12.704275099313495
110,0,0,6.29058453625632,0,0,-6.058100441575472,77.85918507693063,0,0,12.711615055637516,12.711615056683005
111,0,0,5.987679514177563,0,0,-5.913019688793608,77.83116554210862,0,0,12.718900394794112,12.718900395853478
112,0,0,5.6920285297378825,0,0,-5.767574669053915,77.80314004078771,0,0,12.72613575473484,12.72613575580894
113,0,0,5.403649796285206,0,0,-5.621767881317186,77.77510869674428,0,0,12.73332444457429,12.733324445663378
114,0,0,5.1225614022193495,0,0,-5.475601659088484,77.74707162630995,0,0,12.740468564943846,12.740468566048182
115,0,0,4.848781319264932,0,0,-5.329078230841306,77.7190289410439,0,0,12.747569125942222,12.747569127062357
116,0,0,4.582327407722878,0,0,-5.182199774544208,77.69098075014055,0,0,12.75462617490053,12.75462617603677
117,0,0,4.323217418995668,0,0,-5.034968465799196,77.66292716254995,0,0,12.761638920904605,12.761638922056008
118,0,0,4.071468995705732,0,0,-4.887386519753979,77.63486828882122,0,0,12.768605867729047,12.768605868896353
119,0,0,3.827099669718033,0,0,-4.73945622636754,77.6068042426491,0,0,12.775524923598457,12.77552492478134
120,0,0,3.5901268583996644,0,0,-4.591179980187633,77.57873514217633,0,0,12.782393524572585,12.782393525770734
121,0,0,3.360567859390284,0,0,-4.442560303959017,77.55066111102148,0,0,12.789208738033194,12.789208739246494
122,0,0,3.1384398441923502,0,0,-4.293599867057373,77.52258227907902,0,0,12.795967364520065,12.795967365747389
123,0,0,2.923759850839485,0,0,-4.144301498831385,77.4944987830919,0,0,12.802666023315613,12.80266602455697
124,0,0,2.7165447758979275,0,0,-3.9946681976656193,77.46641076703736,0,0,12.809301233309164,12.809301234563259
125,0,0,2.516811366014653,0,0,-3.8447031360001773,77.43831838233287,0,0,12.815869477943334,12.81586947920971
126,0,0,2.324576209214663,0,0,-3.6944096621030265,77.41022178790034,0,0,12.822367264923429,12.822367266201278
127,0,0,2.1398557261095106,0,0,-3.5437912988568714,77.38212115009847,0,0,12.82879117356225,12.828791174851368
128,0,0,1.9626661611666707,0,0,-3.392851740178775,77.3540166425523,0,0,12.83513789369042,12.8351378949889
129,0,0,1.793023574157748,0,0,-3.2415948454942707,77.3259084458975,0,0,12.84140425581688,12.841404257123804
130,0,0,1.6309438318830505,0,0,-3.0900246327034435,77.29779674745855,0,0,12.847587255710165,12.847587257024909
131,0,0,1.476442600247873,0,0,-2.9381452699179524,77.26968174087555,0,0,12.853684070804372,12.85368407212597
132,0,0,1.329535336751986,0,0,-2.785961066377751,77.24156362569404,0,0,12.859692073306404,12.859692074634241
