time,x,y,z,vx,vy,vz,m,att_x,att_y,att_z,thrust,gimbal_a,gimbal_b,R1,R2
1.740000000000000213e+01,1.413665775108206152e-02,1.775394397042873856e-03,4.999143319385661144e+00,-1.306531219007116620e-02,1.921840553403043189e-02,-1.634047917668822241e-03,8.405696191599735245e-01,-5.792123846115510705e-03,7.405964760845207273e-02,-1.617364797899021808e-02,8.250320659195104156e+00,7.599556292610623598e-02,-2.794454368789979059e-03,3.353096366548777990e-02,5.734720076349301976e-02
1.750000000000000000e+01,1.260627353732734698e-02,3.711281574947816221e-03,4.998970789434597606e+00,-1.530384213754713840e-02,1.935887177904942191e-02,-1.725299510633807173e-03,8.397453768323468459e-01,-1.355821638396722748e-02,6.840956451362711910e-02,-1.643363894483197696e-02,8.242423276266279686e+00,7.186120368288839710e-02,4.777682370449965084e-03,3.206860201257927950e-02,5.881324116094199111e-02
1.760000000000000142e+01,1.087620013756532625e-02,5.629399867098516461e-03,4.998791775148561989e+00,-1.730073399762020389e-02,1.918118292150700066e-02,-1.790142860356198169e-03,8.389219210521576819e-01,-2.111808118384067220e-02,6.166172043730466790e-02,-1.665937604968027383e-02,8.234557801891373430e+00,6.658096961611950637e-02,1.228848461717606776e-02,3.132705224813262662e-02,5.955832308073829434e-02
1.769999999999999929e+01,8.973895273972923303e-03,7.498271245970994370e-03,4.998607726947834173e+00,-1.902304863592402945e-02,1.868871378872477562e-02,-1.840482007279378327e-03,8.380992609843045393e-01,-2.835083734183138290e-02,5.392173070589900696e-02,-1.683869756318833247e-02,8.226600678531680089e+00,6.023661923146963332e-02,1.961903694852837332e-02,3.135588389789258079e-02,5.953293168200008562e-02
1.780000000000000071e+01,6.930765394047083347e-03,9.286114688684631718e-03,4.998414593130863892e+00,-2.043129879925839262e-02,1.787843442713637696e-02,-1.931338169705634636e-03,8.372774418839510346e-01,-3.514153233928295900e-02,4.531091737329395741e-02,-1.696256335968079204e-02,8.218191003535237016e+00,5.293717762899120827e-02,2.664068338373027506e-02,3.215951000953717887e-02,5.873266542083267761e-02
1.790000000000000213e+01,4.776731755102686314e-03,1.096543303886796626e-02,4.998289167476458239e+00,-2.154033638944397033e-02,1.679318350183334196e-02,-1.254256544059710078e-03,8.364557858917726074e-01,-4.138175194772115983e-02,3.596446121409391239e-02,-1.702560623681954877e-02,8.216559921784394760e+00,4.474730793078181279e-02,3.328474709099530499e-02,3.369644277459401399e-02,5.719886528269477882e-02
1.800000000000000000e+01,2.544384939389647462e-03,1.250946963213755807e-02,4.998260360402954738e+00,-2.232346815713038765e-02,1.544036593269592153e-02,-2.880707350361957257e-04,8.356346940677190638e-01,-4.697258692421345944e-02,2.602952654202983496e-02,-1.702645281182790099e-02,8.210918240535919566e+00,3.584146024278558884e-02,3.939964035713434953e-02,3.588410291099691091e-02,5.501541708227984662e-02
1.810000000000000142e+01,2.709419046873964149e-04,1.389175430287330551e-02,4.998251142118730783e+00,-2.273443034702251134e-02,1.382284670735746575e-02,-9.218284224020475005e-05,8.348150516264760679e-01,-5.182668453617938348e-02,1.566264736687017489e-02,-1.696776501332174919e-02,8.196424412429617945e+00,2.637801992033128248e-02,4.488118265350690000e-02,3.859716519236372489e-02,5.230520483974286650e-02
1.819999999999999929e+01,-2.006504463247806534e-03,1.508872100743723250e-02,4.998290647424926014e+00,-2.277446367935202776e-02,1.196966704563926474e-02,3.950530619502191790e-04,8.339959695958915065e-01,-5.586753586731613153e-02,5.026753651500737163e-03,-1.685601608044554403e-02,8.190820305845406324e+00,1.646501384291477674e-02,4.966720120414643003e-02,4.167970977203951100e-02,4.922541664332328454e-02
1.830000000000000071e+01,-4.252307158446860108e-03,1.608097141870820299e-02,4.998415533499533936e+00,-2.245802695199053400e-02,9.922504112709720422e-03,1.248860746083321283e-03,8.331773850960841887e-01,-5.903111039154712580e-02,-5.710832774715068894e-03,-1.670108899805460012e-02,8.185844998073553924e+00,6.256056487190539937e-03,5.368410230235199504e-02,4.495226838035211447e-02,4.595383201789468575e-02
