Iteration,Latency (ms)
104,0.167723,5962.211503
105,2.426983,412.034200
106,0.304840,3280.409395
107,0.206958,4831.898260
108,0.175181,5708.381617
109,0.167803,5959.369022
110,2.302654,434.281486
111,0.181983,5495.018765
112,0.175389,5701.611846
113,0.158706,6300.959006
114,0.169276,5907.511992
115,2.561836,390.345049
116,0.230382,4340.616888
117,0.169946,5884.222047
118,0.159101,6285.315617
119,0.157314,6356.713325
120,2.259843,442.508617
121,0.176740,5658.028743
122,0.166338,6011.855379
123,0.158273,6318.197039
124,0.177713,5627.050356
125,2.284999,437.636953
126,0.184015,5434.339592
127,0.164623,6074.485339
128,0.159225,6280.420788
129,0.163898,6101.355721
130,2.373600,421.300977
131,0.209041,4783.750556
132,0.160978,6212.028973
133,0.181447,5511.251219
134,0.162585,6150.628902
135,2.250337,444.377887
136,0.172828,5786.099475
137,0.159281,6278.212718
138,0.157844,6335.369099
139,0.179713,5564.427726
140,2.163072,462.305462
141,0.169373,5904.128757
142,0.159681,6262.485831
143,0.295243,3387.040506
144,0.260027,3845.754479
145,2.332017,428.813341
146,0.208663,4792.416480
147,0.177362,5638.186308
148,0.171843,5819.265260
149,0.167406,5973.501547
150,2.327662,429.615640
151,0.213112,4692.368332
152,0.164442,6081.171477
153,0.161743,6182.647781
154,0.163487,6116.694294
155,2.645201,378.043105
156,0.214327,4665.767729
157,0.167942,5954.436651
158,0.162171,6166.330602
159,0.201076,4973.243948
160,2.221849,450.075590
161,0.186206,5370.396228
162,0.163911,6100.871815
163,0.161115,6206.746734
164,0.159358,6275.179156
165,2.232502,447.927930
166,0.171950,5815.644083
167,0.159672,6262.838820
168,0.159212,6280.933598
169,0.181196,5518.885627
170,2.220663,450.315964
171,0.180828,5530.117017
172,0.161656,6185.975157
173,0.159481,6270.339413
174,0.158423,6312.214767
175,2.236502,447.126808
176,0.170272,5872.956211
177,0.159367,6274.824776
178,0.168267,5942.935929
179,0.164093,6094.105172
180,2.289068,436.859019
181,0.283581,3526.329338
182,0.185964,5377.384870
183,0.161979,6173.639793
184,0.175823,5687.538035
185,2.323895,430.312041
186,0.199850,5003.752815
187,0.163024,6134.066150
188,0.159813,6257.313235
189,0.160077,6246.993634
190,2.219518,450.548272
191,0.169525,5898.834980
192,0.157533,6347.876318
193,0.157189,6361.768317
194,0.157742,6339.465710
195,2.258599,442.752343
196,0.169328,5905.697817
197,0.160833,6217.629467
198,0.158620,6304.375236
199,0.158996,6289.466402
200,2.368776,422.158955
201,0.181153,5520.195636
202,0.161944,6174.974065
203,0.160045,6248.242682
204,0.159527,6268.531346
205,2.259713,442.534074
206,0.170750,5856.515373
207,0.161025,6210.215805
208,0.157937,6331.638565
209,0.175397,5701.351791
210,1.500779,666.320624
