0.056,-4.7641e-05,-5.7589e-05,0.0234,-0.0031405,-0.0038666,0.81161,-0.15697,-0.19672,13.991,0.28645,-0.22351,-0.13655
0.057,-5.0944e-05,-6.1659e-05,0.024226,-0.0033028,-0.0040701,0.82558,-0.1623,-0.2035,13.973,0.29135,-0.22729,-0.13887
0.058,-5.4415e-05,-6.5939e-05,0.025065,-0.0034705,-0.0042805,0.83953,-0.16771,-0.21038,13.955,0.29624,-0.23106,-0.14119
0.059,-5.8058e-05,-7.0437e-05,0.025919,-0.0036437,-0.0044978,0.85347,-0.17321,-0.21737,13.938,0.30112,-0.23482,-0.1435
0.06,-6.1881e-05,-7.5159e-05,0.026786,-0.0038225,-0.0047223,0.86739,-0.17879,-0.22446,13.92,0.306,-0.23859,-0.14581
0.061,-6.5888e-05,-8.0113e-05,0.027668,-0.004007,-0.004954,0.88129,-0.18445,-0.23165,13.902,0.31087,-0.24235,-0.14812
0.062,-7.0085e-05,-8.5306e-05,0.028563,-0.0041972,-0.0051929,0.89518,-0.19019,-0.23895,13.884,0.31573,-0.2461,-0.15042
0.063,-7.4478e-05,-9.0745e-05,0.029472,-0.0043932,-0.0054393,0.90904,-0.19602,-0.24635,13.866,0.32057,-0.24985,-0.15271
0.064,-7.9073e-05,-9.6438e-05,0.030395,-0.0045951,-0.0056931,0.92289,-0.20192,-0.25386,13.849,0.32542,-0.25359,-0.155
0.065,-8.3876e-05,-0.00010239,0.031331,-0.004803,-0.0059546,0.93672,-0.20791,-0.26146,13.831,0.33025,-0.25733,-0.15729
0.066,-8.8893e-05,-0.00010862,0.032282,-0.005017,-0.0062237,0.95054,-0.21398,-0.26917,13.813,0.33507,-0.26106,-0.15957
0.067,-9.413e-05,-0.00011512,0.033246,-0.0052371,-0.0065007,0.96433,-0.22014,-0.27698,13.795,0.33988,-0.26479,-0.16184
0.068,-9.9594e-05,-0.0001219,0.034224,-0.0054635,-0.0067856,0.97811,-0.22637,-0.28489,13.778,0.34469,-0.26851,-0.16411
0.069,-0.00010529,-0.00012898,0.035216,-0.0056962,-0.0070785,0.99187,-0.23268,-0.2929,13.76,0.34948,-0.27223,-0.16638
0.07,-0.00011123,-0.00013636,0.036222,-0.0059353,-0.0073795,1.0056,-0.23908,-0.30101,13.742,0.35427,-0.27594,-0.16864
0.071,-0.00011741,-0.00014405,0.037241,-0.0061808,-0.0076888,1.0193,-0.24555,-0.30922,13.725,0.35905,-0.27965,-0.17089
