Iteration,x,y,z,vx,vy,vz,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z,thrust,a,b
57,-0.001945,0.064174,-0.000093,-0.012640,0.411603,-0.000600,-0.000012,-0.000008,-0.000022,-0.000075,-0.000059,-0.000133,0.000000,0.000000,0.000000
58,-0.002006,0.065037,-0.000092,-0.012931,0.414621,-0.000591,-0.000007,-0.000011,-0.000010,-0.000058,-0.000057,-0.000094,0.000000,0.000000,0.000000
59,-0.002071,0.065889,-0.000092,-0.013262,0.417565,-0.000582,-0.000004,-0.000014,-0.000014,-0.000030,-0.000078,-0.000068,0.000000,0.000000,0.000000
60,-0.002142,0.066722,-0.000092,-0.013627,0.420379,-0.000576,-0.000000,-0.000012,-0.000012,-0.000007,-0.000082,-0.000077,0.000000,0.000000,0.000000
61,-0.002212,0.067549,-0.000091,-0.014001,0.423077,-0.000570,0.000006,-0.000013,-0.000017,0.000027,-0.000080,-0.000086,0.000000,0.000000,0.000000
62,-0.002281,0.068369,-0.000091,-0.014365,0.425701,-0.000563,0.000000,-0.000016,-0.000012,0.000028,-0.000092,-0.000083,0.000000,0.000000,0.000000
63,-0.002354,0.069186,-0.000090,-0.014736,0.428261,-0.000554,-0.000002,-0.000021,-0.000012,-0.000001,-0.000116,-0.000067,0.000000,0.000000,0.000000
64,-0.002426,0.069989,-0.000089,-0.015110,0.430737,-0.000544,-0.000004,-0.000023,-0.000011,-0.000015,-0.000137,-0.000064,0.000000,0.000000,0.000000
65,-0.002497,0.070784,-0.000088,-0.015473,0.433115,-0.000536,-0.000003,-0.000026,-0.000008,-0.000015,-0.000153,-0.000050,0.000000,0.000000,0.000000
66,-0.002559,0.071570,-0.000087,-0.015802,0.435410,-0.000526,-0.000001,-0.000023,-0.000004,-0.000004,-0.000154,-0.000027,0.000000,0.000000,0.000000
67,-0.002622,0.072350,-0.000086,-0.016101,0.437634,-0.000515,-0.000003,-0.000029,-0.000001,-0.000005,-0.000162,-0.000004,0.000000,0.000000,0.000000
68,-0.002685,0.073123,-0.000084,-0.016397,0.439790,-0.000505,-0.000001,-0.000027,0.000012,-0.000005,-0.000173,0.000045,0.000000,0.000000,0.000000
69,-0.002753,0.073891,-0.000083,-0.016706,0.441883,-0.000494,0.000002,-0.000022,0.000016,0.000011,-0.000150,0.000100,0.000000,0.000000,0.000000
70,-0.002821,0.074655,-0.000082,-0.017032,0.443927,-0.000484,0.000004,-0.000023,0.000018,0.000024,-0.000136,0.000118,0.000000,0.000000,0.000000
71,-0.002895,0.075413,-0.000081,-0.017373,0.445918,-0.000475,-0.000001,-0.000022,0.000016,0.000016,-0.000133,0.000118,0.000000,0.000000,0.000000
72,-0.002972,0.076163,-0.000081,-0.017735,0.447840,-0.000466,-0.000000,-0.000015,0.000010,0.000005,-0.000107,0.000094,0.000000,0.000000,0.000000
73,-0.003048,0.076902,-0.000080,-0.018098,0.449683,-0.000460,0.000001,-0.000020,0.000007,0.000010,-0.000100,0.000064,0.000000,0.000000,0.000000
74,-0.003128,0.077636,-0.000080,-0.018471,0.451459,-0.000454,0.000004,-0.000020,0.000002,0.000021,-0.000116,0.000040,0.000000,0.000000,0.000000
75,-0.003204,0.078368,-0.000079,-0.018840,0.453192,-0.000449,-0.000002,-0.000018,-0.000002,0.000010,-0.000108,0.000010,0.000000,0.000000,0.000000
76,-0.003283,0.079093,-0.000080,-0.019200,0.454877,-0.000447,-0.000001,-0.000018,-0.000005,-0.000006,-0.000103,-0.000014,0.000000,0.000000,0.000000
77,-0.003364,0.079810,-0.000081,-0.019572,0.456502,-0.000448,0.000007,-0.000016,-0.000012,0.000023,-0.000095,-0.000042,0.000000,0.000000,0.000000
78,-0.003442,0.080523,-0.000081,-0.019937,0.458073,-0.000450,0.000009,-0.000017,-0.000010,0.000054,-0.000092,-0.000056,0.000000,0.000000,0.000000
79,-0.003517,0.081226,-0.000082,-0.020278,0.459586,-0.000453,0.000006,-0.000020,-0.000008,0.000051,-0.000104,-0.000043,0.000000,0.000000,0.000000
80,-0.003596,0.081920,-0.000083,-0.020619,0.461026,-0.000455,0.000010,-0.000022,-0.000009,0.000056,-0.000118,-0.000040,0.000000,0.000000,0.000000
81,-0.003672,0.082606,-0.000084,-0.020961,0.462400,-0.000457,0.000005,-0.000025,-0.000003,0.000053,-0.000132,-0.000025,0.000000,0.000000,0.000000
82,-0.003744,0.083282,-0.000085,-0.021278,0.463705,-0.000460,0.000006,-0.000028,-0.000002,0.000040,-0.000148,-0.000003,0.000000,0.000000,0.000000
83,-0.003813,0.083949,-0.000086,-0.021571,0.464941,-0.000464,0.000018,-0.000024,-0.000009,0.000076,-0.000146,-0.000020,0.000000,0.000000,0.000000
84,-0.003883,0.084610,-0.000087,-0.021855,0.466119,-0.000466,0.000016,-0.000020,-0.000010,0.000106,-0.000122,-0.000044,0.000000,0.000000,0.000000
85,-0.003949,0.085266,-0.000087,-0.022127,0.467253,-0.000465,0.000017,-0.000018,-0.000013,0.000105,-0.000102,-0.000055,0.000000,0.000000,0.000000
