Iteration,Latency (ms)
201,0.021578,46343.498007
202,0.022583,44281.096400
203,0.022440,44563.279857
204,0.021940,45578.851413
205,0.020640,48449.612403
206,0.022133,45181.403334
207,0.021487,46539.768232
208,0.021264,47027.840482
209,0.022612,44224.305678
210,0.021253,47052.180869
211,0.020778,48127.827510
212,0.022363,44716.719581
213,0.023127,43239.503610
214,0.026808,37302.297822
215,0.022097,45255.011993
216,0.021068,47465.350294
217,0.022313,44816.922870
218,0.021678,46129.716764
219,0.021767,45941.103505
220,0.022378,44686.745911
221,0.021535,46436.034363
222,0.021757,45962.219056
223,0.023200,43103.448276
224,0.020879,47895.014129
225,0.021810,45850.527281
226,0.022163,45120.245454
227,0.022178,45089.728560
228,0.020780,48123.195380
229,0.022203,45038.958699
230,0.021540,46425.255339
231,0.022005,45444.217223
232,0.022075,45300.113250
233,0.022745,43965.706749
234,0.021274,47005.734700
235,0.021914,45632.928721
236,0.021708,46065.966464
237,0.020890,47869.794160
238,0.023317,42887.163872
239,0.022326,44790.826839
240,0.021778,45917.898797
241,0.021670,46146.746654
242,0.022258,44927.666457
243,0.020966,47696.270152
244,0.021275,47003.525264
245,0.022560,44326.241135
246,0.021264,47027.840482
247,0.021734,46010.858563
248,0.021623,46247.051750
249,0.022038,45376.168436
250,0.021109,47373.158368
251,0.023415,42707.666026
252,0.022291,44861.154726
253,0.026711,37437.759724
254,0.023503,42547.759860
255,0.075246,13289.742976
256,0.030327,32973.917631
257,0.026876,37207.917845
258,0.024080,41528.239203
259,0.024033,41609.453668
260,0.023600,42372.881356
261,0.024438,40919.878877
262,0.022679,44093.654923
263,0.022619,44210.619391
264,0.022978,43519.888589
265,0.023341,42843.065850
266,0.023957,41741.453437
267,0.023777,42057.450477
268,0.023674,42240.432542
269,0.024832,40270.618557
270,0.024508,40803.003101
271,0.024630,40600.893220
272,0.023214,43077.453261
273,0.024162,41387.302376
274,0.023781,42050.376351
275,0.023610,42354.934350
276,0.023642,42297.605956
277,0.022914,43641.441913
278,0.022743,43969.573055
279,0.022701,44050.922867
280,0.022510,44424.700133
281,0.024221,41286.486933
282,0.022978,43519.888589
283,0.022651,44148.161229
284,0.023305,42909.246943
285,0.022560,44326.241135
286,0.023361,42806.386713
287,0.023827,41969.194611
288,0.022483,44478.050082
289,0.022733,43988.914793
290,0.022903,43662.402305
291,0.022326,44790.826839
292,0.022484,44476.071873
293,0.021895,45672.527974
294,0.021343,46853.769386
295,0.020902,47842.311741
296,0.021883,45697.573459
297,0.021993,45469.012868
298,0.021707,46068.088635
299,0.021233,47096.500730
300,0.021253,47052.180869
301,0.021314,46917.519002
302,0.021565,46371.435196
303,0.025478,39249.548630
304,0.022061,45328.860886
305,0.020959,47712.200010
306,0.021231,47100.937309
307,0.020967,47693.995326
308,0.021104,47384.382108
309,0.020668,48383.975227
310,0.025442,39305.086078
311,0.023675,42238.648363
312,0.023318,42885.324642
313,0.022140,45167.118338
314,0.021865,45735.193231
315,0.021373,46788.003556
316,0.021538,46429.566348
317,0.022047,45357.645031
318,0.021548,46408.019306
319,0.021946,45566.390231
320,0.026123,38280.442522
321,0.022234,44976.162634
322,0.023097,43295.666104
