time,x,y,z,vx,vy,vz,att_x,att_y,att_z,thrust,gimbal_a,gimbal_b
1.900000000000000133e+00,6.100043241444745328e-06,-1.537977836516388978e-03,2.275034049945181547e+00,2.052190467605220984e-05,-4.976573983055241138e-03,1.125955533069638914e+00,-1.540747936156198919e-04,1.030408910307478720e-05,1.030310464500981996e-05,1.055850098480511257e+01,1.637584192964516199e-03,0.000000000000000000e+00
2.000000000000000000e+00,9.136532545781048554e-06,-2.273697333319799150e-03,2.385430691713051221e+00,3.036489304336303057e-05,-7.357194968034099988e-03,1.103966417678694967e+00,-2.285157717915931627e-04,1.516513555643861366e-05,1.516322948298481720e-05,1.056729312204983806e+01,2.425459796549630544e-03,0.000000000000000000e+00
2.100000000000000089e+00,1.360380811357746745e-05,-3.355378711624367079e-03,2.492952182598199951e+00,4.467275567796419572e-05,-1.081681378304568016e-02,1.075214908851489293e+00,-3.396299015806232384e-04,2.215605896283001641e-05,2.215292375416373199e-05,1.059826793804050737e+01,3.565462747132235131e-03,0.000000000000000000e+00
2.200000000000000178e+00,2.014757248935926528e-05,-4.928936340107037233e-03,2.597956923902430493e+00,6.543764375781795800e-05,-1.573557628482669807e-02,1.050047413042303424e+00,-5.058427984313828034e-04,3.205532694128265803e-05,3.205170490619443886e-05,1.065888893954098648e+01,5.180814254118755284e-03,0.000000000000000000e+00
2.300000000000000266e+00,2.975844418231144803e-05,-7.194703783650299375e-03,2.703609179330069168e+00,9.610871692952182069e-05,-2.265767443543261622e-02,1.056522554276386527e+00,-7.546114351457458005e-04,4.602270572928723880e-05,4.602129589194354109e-05,1.071983071297477785e+01,7.502323220468485460e-03,0.000000000000000000e+00
2.400000000000000355e+00,4.381210084792565242e-05,-1.048999926558738874e-02,2.810537073915895245e+00,1.405365666561420642e-04,-3.295295481937089710e-02,1.069278945858261887e+00,-1.125811736150134123e-03,6.583036293772437375e-05,6.582917826505501658e-05,1.068322811284040341e+01,1.117333033692990800e-02,0.000000000000000000e+00
2.500000000000000000e+00,6.418505587897369914e-05,-1.542684903480139556e-02,2.914687963915256752e+00,2.037295503104804943e-04,-4.936849769214006478e-02,1.041508899993615067e+00,-1.669557113587200091e-03,9.417868127026274294e-05,9.414193306819144209e-05,1.059227796585908621e+01,1.680336373391526361e-02,0.000000000000000000e+00
2.600000000000000089e+00,9.351111562537256418e-05,-2.267159463074681566e-02,3.016518262772650782e+00,2.932605974639886505e-04,-7.244745595945420447e-02,1.018302988573940748e+00,-2.476066905494382457e-03,1.350046636856561122e-04,1.348706125391449095e-04,1.060717870977570065e+01,2.460855072302064322e-02,0.000000000000000000e+00
2.700000000000000178e+00,1.364490583392827803e-04,-3.349951150517326698e-02,3.117660885975959584e+00,4.293794271391022151e-04,-1.082791687442644923e-01,1.011426232033088013e+00,-3.648453139009466550e-03,1.942616701295918347e-04,1.938390704134676035e-04,1.064519006327634010e+01,3.601676113635183391e-02,0.000000000000000000e+00
2.800000000000000266e+00,1.991520283625129880e-04,-4.983362294426410544e-02,3.217186518896083314e+00,6.270297002323021313e-04,-1.633411143909084262e-01,9.952563292012355234e-01,-5.383738411795533328e-03,2.805898206019730168e-04,2.794678943398047274e-04,1.064063615060554646e+01,5.526829684328689318e-02,0.000000000000000000e+00
2.900000000000000355e+00,2.900829933655758234e-04,-7.414793179111883736e-02,3.315551727937596560e+00,9.093096500306283546e-04,-2.431430884685472638e-01,9.836520904151342393e-01,-8.062576981720318003e-03,4.068216886008446664e-04,4.042087372160673027e-04,1.066276294780775480e+01,8.607460780890656415e-02,0.000000000000000000e+00
3.000000000000000000e+00,4.238779974375314077e-04,-1.098909572123094314e-01,3.412614480974923481e+00,1.337950040719555842e-03,-3.574302542119058290e-01,9.706275303732671000e-01,-1.203905214795974489e-02,5.934893007792929609e-04,5.874661231763998823e-04,1.068943943956974607e+01,1.208835125060111898e-01,0.000000000000000000e+00
3.100000000000000089e+00,6.246957500200047428e-04,-1.629282506341999393e-01,3.509436926557266023e+00,2.008177525824733460e-03,-5.303729342189049678e-01,9.682244558234250897e-01,-1.793161676616157607e-02,8.715187650145672649e-04,8.577054351959797866e-04,1.073725115030344490e+01,1.803752610347683638e-01,0.000000000000000000e+00
3.200000000000000178e+00,9.321403682827780019e-04,-2.415830240099328396e-01,3.606236518769546429e+00,3.074446182627732591e-03,-7.865477337573290040e-01,9.679959221228049415e-01,-2.654605041424883474e-02,1.287775941832380866e-03,1.256340761198336238e-03,1.080710661656954130e+01,2.617247179269351354e-01,0.000000000000000000e+00
