Time,X,Y,Z,Vx,Vy,Vz,Mass,Thrust_X,Thrust_Y,Thrust_Z,Thrust_Mag
0.8,0.0,0.0,47.69897409083158,0.0,0.0,-4.6893132862848885,72.46037607915964,0.0,0.0,695.3198296311929,695.3198296311929
0.8500000000000001,0.0,0.0,47.46450842651734,0.0,0.0,-4.6998526446707825,72.44069023212171,0.0,0.0,701.4412489268293,701.4412489268293
0.9,0.0,0.0,47.2295157942838,0.0,0.0,-4.706036493768091,72.4208311003742,0.0,0.0,704.7847091208222,704.7847091208222
0.9500000000000001,0.0,0.0,46.9942139695954,0.0,0.0,-4.70977922504257,72.40087732272092,0.0,0.0,706.6343442450363,706.6343442450363
1.0,0.0,0.0,46.758725008343276,0.0,0.0,-4.712110494687811,72.38087118642181,0.0,0.0,707.7359657077959,707.7359657077959
1.05,0.0,0.0,46.52311948360889,0.0,0.0,-4.713545891000723,72.36083386624718,0.0,0.0,708.4855518638934,708.4855518638934
1.1,0.0,0.0,46.28744218905886,0.0,0.0,-4.714327957423998,72.34077532760624,0.0,0.0,709.0674158584194,709.0674158584194
1.1500000000000001,0.0,0.0,46.051725791187664,0.0,0.0,-4.714572113300439,72.32070031837506,0.0,0.0,709.5504729855811,709.5504729855811
1.2000000000000002,0.0,0.0,45.81599718552265,0.0,0.0,-4.714346260116669,72.30061163557711,0.0,0.0,709.9498083812967,709.9498083812967
1.25,0.0,0.0,45.58027987251681,0.0,0.0,-4.713707942359471,72.28051164920481,0.0,0.0,710.2617550833605,710.2617550833605
1.3,0.0,0.0,45.34459447539884,0.0,0.0,-4.7127173049898605,72.260402833053,0.0,0.0,710.4808338951003,710.4808338951003
1.35,0.0,0.0,45.10895861014936,0.0,0.0,-4.71143835110926,72.24028781601925,0.0,0.0,710.6059436488174,710.6059436488174
1.4000000000000001,0.0,0.0,44.8733866925939,0.0,0.0,-4.709935917215738,72.22016925817181,0.0,0.0,710.6412088191316,710.6412088191316
1.4500000000000002,0.0,0.0,44.637889896733114,0.0,0.0,-4.708272056560074,72.20004970282214,0.0,0.0,710.5947523249636,710.5947523249636
1.5,0.0,0.0,44.40247629390512,0.0,0.0,-4.706503266291026,72.17993146333885,0.0,0.0,710.47703283476,710.47703283476
1.55,0.0,0.0,44.16715113059057,0.0,0.0,-4.704678861711794,72.15981655702682,0.0,0.0,710.2994106638032,710.2994106638032
1.6,0.0,0.0,43.93191718750498,0.0,0.0,-4.702840341499689,72.13970667960412,0.0,0.0,710.0731180713399,710.0731180713399
1.6500000000000001,0.0,0.0,43.69677517043,0.0,0.0,-4.701021465541783,72.11960320882744,0.0,0.0,709.808609702272,709.808609702272
