time,x,y,z,vx,vy,vz,thrust,a,b,xac,yac,zac,vxac,vyac,vzac
0.063,0,0,0.000422847,0,0,0.0131988,7.01517,0,0,-0.0243002,0.285786,6.3634e-06,-0.000294744,0.00346639,7.924e-08
0.064,0,0,0.000436261,0,0,0.0134141,7.01537,0,0,-0.0243276,0.286109,6.70237e-06,-0.000293192,0.00344814,8.30507e-08
0.065,0,0,0.000449891,0,0,0.0136297,7.01556,0,0,-0.0243543,0.286423,7.05326e-06,-0.000291648,0.00342998,8.69711e-08
0.066,0,0,0.000463736,0,0,0.0138455,7.01576,0,0,-0.0243803,0.286728,7.41629e-06,-0.000290111,0.0034119,9.1002e-08
0.067,0,0,0.000477798,0,0,0.0140617,7.01595,0,0,-0.0244055,0.287026,7.79164e-06,-0.000288582,0.00339393,9.51444e-08
0.068,0,0,0.000492076,0,0,0.0142781,7.01614,0,0,-0.0244301,0.287315,8.17952e-06,-0.000287062,0.00337605,9.93991e-08
0.069,0,0,0.000506571,0,0,0.0144948,7.01634,0,0,-0.0244541,0.287596,8.58013e-06,-0.00028555,0.00335827,1.03767e-07
0.07,0,0,0.000521283,0,0,0.0147117,7.01653,0,0,-0.0244774,0.287871,8.99367e-06,-0.000284047,0.00334059,1.08248e-07
0.071,0,0,0.000536212,0,0,0.014929,7.01673,0,0,-0.0245001,0.288138,9.42032e-06,-0.000282553,0.00332302,1.12845e-07
0.072,0,0,0.000551358,0,0,0.0151465,7.01692,0,0,-0.0245223,0.288399,9.8603e-06,-0.000281068,0.00330555,1.17556e-07
0.073,0,0,0.000566722,0,0,0.0153643,7.01711,0,0,-0.0245439,0.288653,1.03138e-05,-0.000279591,0.00328818,1.22384e-07
0.074,0,0,0.000582305,0,0,0.0155824,7.01731,0,0,-0.024565,0.288902,1.0781e-05,-0.000278124,0.00327093,1.27329e-07
0.075,0,0,0.000598105,0,0,0.0158007,7.0175,0,0,-0.0245856,0.289144,1.12621e-05,-0.000276666,0.00325378,1.32392e-07
0.076,0,0,0.000614125,0,0,0.0160194,7.0177,0,0,-0.0246057,0.28938,1.17573e-05,-0.000275218,0.00323675,1.37573e-07
0.077,0,0,0.000630363,0,0,0.0162383,7.01789,0,0,-0.0246254,0.289611,1.22668e-05,-0.000273779,0.00321982,1.42872e-07
0.078,0,0,0.000646821,0,0,0.0164574,7.01808,0,0,-0.0246445,0.289836,1.27908e-05,-0.000272349,0.00320301,1.48292e-07
0.079,0,0,0.000663497,0,0,0.0166769,7.01828,0,0,-0.0246633,0.290057,1.33295e-05,-0.000270929,0.00318631,1.53832e-07
0.08,0,0,0.000680394,0,0,0.0168966,7.01847,0,0,-0.0246816,0.290272,1.3883e-05,-0.000269518,0.00316971,1.59493e-07
0.081,0,0,0.000697511,0,0,0.0171167,7.01866,0,0,-0.0246995,0.290483,1.44516e-05,-0.000268117,0.00315324,1.65275e-07
0.082,0,0,0.000714848,0,0,0.0173369,7.01886,0,0,-0.024717,0.290689,1.50355e-05,-0.000266725,0.00313687,1.7118e-07
0.083,0,0,0.000732405,0,0,0.0175575,7.01905,0,0,-0.0247341,0.29089,1.56348e-05,-0.000265343,0.00312062,1.77207e-07
0.084,0,0,0.000750184,0,0,0.0177784,7.01924,0,0,-0.0247509,0.291087,1.62498e-05,-0.000263971,0.00310447,1.83358e-07
0.085,0,0,0.000768183,0,0,0.0179995,7.01944,0,0,-0.0247673,0.29128,1.68805e-05,-0.000262608,0.00308845,1.89633e-07
0.086,0,0,0.000786404,0,0,0.0182209,7.01963,0,0,-0.0247834,0.291469,1.75273e-05,-0.000261254,0.00307253,1.96033e-07
0.087,0,0,0.000804846,0,0,0.0184425,7.01982,0,0,-0.0247991,0.291654,1.81903e-05,-0.00025991,0.00305672,2.02557e-07
0.088,0,0,0.000823511,0,0,0.0186645,7.02002,0,0,-0.0248145,0.291836,1.88697e-05,-0.000258576,0.00304103,2.09208e-07
0.089,0,0,0.000842398,0,0,0.0188867,7.02021,0,0,-0.0248296,0.292013,1.95657e-05,-0.000257251,0.00302545,2.15985e-07
0.09,0,0,0.000861507,0,0,0.0191092,7.0204,0,0,-0.0248444,0.292187,2.02785e-05,-0.000255935,0.00300997,2.22888e-07
0.091,0,0,0.000880839,0,0,0.019332,7.0206,0,0,-0.0248589,0.292358,2.10082e-05,-0.000254629,0.00299461,2.29919e-07
0.092,0,0,0.000900394,0,0,0.019555,7.02079,0,0,-0.0248731,0.292525,2.1755e-05,-0.000253332,0.00297936,2.37077e-07
0.093,0,0,0.000920172,0,0,0.0197784,7.02098,0,0,-0.0248871,0.292689,2.25192e-05,-0.000252045,0.00296422,2.44364e-07
0.094,0,0,0.000940174,0,0,0.020002,7.02118,0,0,-0.0249008,0.29285,2.33009e-05,-0.000250767,0.00294919,2.5178e-07
0.095,0,0,0.0009604,0,0,0.0202258,7.02137,0,0,-0.0249142,0.293008,2.41003e-05,-0.000249498,0.00293426,2.59325e-07
0.096,0,0,0.00098085,0,0,0.02045,7.02156,0,0,-0.0249274,0.293163,2.49176e-05,-0.000248238,0.00291944,2.67e-07
0.097,0,0,0.00100152,0,0,0.0206744,7.02175,0,0,-0.0249403,0.293315,2.5753e-05,-0.000246987,0.00290473,2.74805e-07
0.098,0,0,0.00102242,0,0,0.0208991,7.02195,0,0,-0.024953,0.293464,2.66067e-05,-0.000245745,0.00289013,2.82741e-07
0.099,0,0,0.00104355,0,0,0.0211241,7.02214,0,0,-0.0249655,0.293611,2.74787e-05,-0.000244512,0.00287563,2.90808e-07
0.1,0,0,0.0010649,0,0,0.0213493,7.02233,0,0,-0.0249777,0.293755,2.83694e-05,-0.000243289,0.00286124,2.99007e-07
0.101,0,0,0.00108647,0,0,0.0215749,7.02252,0,0,-0.0249897,0.293896,2.9279e-05,-0.000242074,0.00284695,3.07338e-07
0.102,0,0,0.00110827,0,0,0.0218007,7.02272,0,0,-0.0250015,0.294035,3.02075e-05,-0.000240867,0.00283277,3.15802e-07
0.103,0,0,0.0011303,0,0,0.0220268,7.02291,0,0,-0.0250131,0.294172,3.11552e-05,-0.00023967,0.00281868,3.24399e-07
0.104,0,0,0.00115255,0,0,0.0222531,7.0231,0,0,-0.0250245,0.294306,3.21223e-05,-0.000238481,0.0028047,3.33129e-07
0.105,0,0,0.00117503,0,0,0.0224797,7.02329,0,0,-0.0250358,0.294438,3.31089e-05,-0.000237301,0.00279082,3.41994e-07
0.106,0,0,0.00119774,0,0,0.0227066,7.02349,0,0,-0.0250468,0.294567,3.41152e-05,-0.00023613,0.00277705,3.50992e-07
0.107,0,0,0.00122067,0,0,0.0229338,7.02368,0,0,-0.0250576,0.294695,3.51415e-05,-0.000234967,0.00276337,3.60126e-07
0.108,0,0,0.00124383,0,0,0.0231613,7.02387,0,0,-0.0250683,0.29482,3.61878e-05,-0.000233812,0.00274979,3.69395e-07
0.109,0,0,0.00126722,0,0,0.023389,7.02406,0,0,-0.0250788,0.294944,3.72544e-05,-0.000232666,0.00273631,3.78799e-07
0.11,0,0,0.00129084,0,0,0.023617,7.02425,0,0,-0.0250891,0.295065,3.83415e-05,-0.000231528,0.00272292,3.8834e-07
0.111,0,0,0.00131469,0,0,0.0238453,7.02445,0,0,-0.0250993,0.295185,3.94493e-05,-0.000230398,0.00270963,3.98017e-07
0.112,0,0,0.00133876,0,0,0.0240738,7.02464,0,0,-0.0251093,0.295302,4.05778e-05,-0.000229276,0.00269644,4.07831e-07
0.113,0,0,0.00136306,0,0,0.0243026,7.02483,0,0,-0.0251191,0.295418,4.17274e-05,-0.000228162,0.00268335,4.17783e-07
0.114,0,0,0.00138759,0,0,0.0245317,7.02502,0,0,-0.0251288,0.295532,4.28981e-05,-0.000227057,0.00267034,4.27872e-07
0.115,0,0,0.00141235,0,0,0.0247611,7.02521,0,0,-0.0251384,0.295644,4.40903e-05,-0.000225959,0.00265743,4.38099e-07
0.116,0,0,0.00143735,0,0,0.0249907,7.02541,0,0,-0.0251478,0.295755,4.53039e-05,-0.000224869,0.00264462,4.48465e-07
0.117,0,0,0.00146257,0,0,0.0252207,7.0256,0,0,-0.025157,0.295864,4.65393e-05,-0.000223787,0.00263189,4.58971e-07
